
Rank,Athlete,Age,Team,NOC,D,P(1934T),P(1985T),
1,Bob Clark,23,United States,USA,7.62,977,965,OB
2,Jack Parker,20,United States,USA,7.35,899,898,
3,Jerzy PÅawczyk,25,Poland,POL,7.12,836,842,
4,Armin Guhl,28,Switzerland,SUI,7.04,815,823,
5,Glenn Morris,24,United States,USA,6.97,796,807,
6,Erwin Huber,29,Germany,GER,6.89,775,788,
7,Martti Tolamo,29,Finland,FIN,6.84,762,776,
8,PÃ©ter BÃ¡csalmÃ¡si,27,Hungary,HUN,6.78,746,762,
9T,Akilles JÃ¤rvinen,30,Finland,FIN,6.69,723,741,
9T,Jan Brasser,23,Netherlands,NED,6.69,723,741,
11,Olle Bexell,27,Sweden,SWE,6.68,721,739,
12,Helmut Bonnet,26,Germany,GER,6.66,716,734,
13,Leif Dahlgren,30,Sweden,SWE,6.65,713,732,
14T,Edvard Natvig,28,Norway,NOR,6.55,688,709,
14T,Ãmile Binet,28,Belgium,BEL,6.55,688,709,
16,Franz Sterzl,28,Austria,AUT,6.52,681,702,
17,Willy BÃ¼hrer,24,Switzerland,SUI,6.48,671,693,
18,ZoltÃ¡n CsÃ¡nyi,23,Hungary,HUN,6.42,656,679,
19T,Fritz DÃ¤llenbach,24,Switzerland,SUI,6.36,641,666,
19T,JÄnis Dimza,29,Latvia,LAT,6.36,641,666,
21,Lyuben Doychev,24,Bulgaria,BUL,6.35,639,664,
22,Aulis Reinikka,20,Finland,FIN,6.32,632,657,
23,Chang Singchow,20,China,CHN,6.28,622,648,
24,Osvaldo Wenzel,24,Chile,CHI,6.25,615,641,
25,Josef Klein,19,Czechoslovakia,TCH,6.22,608,635,
26,Erwin Reimer,22,Chile,CHI,5.92,538,569,
27,Maurice Boulanger,27,Belgium,BEL,5.85,522,554,
28,Karl Vilmundarson,26,Iceland,ISL,5.62,472,506,
