
Rank,Athlete,Age,Team,NOC,D,P(1934T),P(1985T),
1,Glenn Morris,24,United States,USA,43.02,803,726,
2,Armin Guhl,28,Switzerland,SUI,40.97,740,684,
3,PÃ©ter BÃ¡csalmÃ¡si,27,Hungary,HUN,39.64,701,657,
4,Edvard Natvig,28,Norway,NOR,39.60,699,656,
5,Jan Brasser,23,Netherlands,NED,39.45,695,653,
6,Bob Clark,23,United States,USA,39.39,693,652,
7,Helmut Bonnet,26,Germany,GER,39.16,686,648,
8,Jack Parker,20,United States,USA,39.11,685,646,
9,Olle Bexell,27,Sweden,SWE,38.83,677,641,
10,Aulis Reinikka,20,Finland,FIN,38.61,670,636,
11,Jerzy PÅawczyk,25,Poland,POL,38.30,662,630,
12,Lyuben Doychev,24,Bulgaria,BUL,38.25,660,629,
13,Leif Dahlgren,30,Sweden,SWE,38.06,655,625,
14,Osvaldo Wenzel,24,Chile,CHI,37.11,628,606,
15,Willy BÃ¼hrer,24,Switzerland,SUI,36.43,609,592,
16,Josef Klein,19,Czechoslovakia,TCH,35.88,593,581,
17,ZoltÃ¡n CsÃ¡nyi,23,Hungary,HUN,35.86,593,581,
18,Erwin Huber,29,Germany,GER,35.46,582,573,
19,Franz Sterzl,28,Austria,AUT,35.33,578,570,
20,Martti Tolamo,29,Finland,FIN,34.36,552,551,
21,Fritz DÃ¤llenbach,24,Switzerland,SUI,33.18,520,527,
22,Ãmile Binet,28,Belgium,BEL,26.87,363,403,
23,Maurice Boulanger,27,Belgium,BEL,25.20,324,371,
