
Rank,Athlete,Age,Team,NOC,Medal,P(1934T),P(1985T),
1,Glenn Morris,24,United States,USA,Gold,7900,7.254,WR
2,Bob Clark,23,United States,USA,Silver,7601,7.063,
3,Jack Parker,20,United States,USA,Bronze,7275,6.760,
4,Erwin Huber,29,Germany,GER,,7087,6.648,
5,Jan Brasser,23,Netherlands,NED,,7046,6.570,
6,Armin Guhl,28,Switzerland,SUI,,7033,6.618,
7,Olle Bexell,27,Sweden,SWE,,7024,6.558,
8,Helmut Bonnet,26,Germany,GER,,6939,6.492,
9,Jerzy PÅawczyk,25,Poland,POL,,6871,6.446,
10,Edvard Natvig,28,Norway,NOR,,6759,6.453,
11,Aulis Reinikka,20,Finland,FIN,,6755,6.342,
12,PÃ©ter BÃ¡csalmÃ¡si,27,Hungary,HUN,,6395,5.979,
13,Fritz DÃ¤llenbach,24,Switzerland,SUI,,6311,6.030,
14,Lyuben Doychev,24,Bulgaria,BUL,,6307,5.944,
15,Osvaldo Wenzel,24,Chile,CHI,,6058,5.798,
16,Josef Klein,19,Czechoslovakia,TCH,,5883,5.718,
17,Maurice Boulanger,27,Belgium,BEL,,5097,5.020,
AC,Leif Dahlgren,30,Sweden,SWE,,,,DNF
AC,ZoltÃ¡n CsÃ¡nyi,23,Hungary,HUN,,,,DNF
AC,Willy BÃ¼hrer,24,Switzerland,SUI,,,,DNF
AC,Franz Sterzl,28,Austria,AUT,,,,DNF
AC,Ãmile Binet,28,Belgium,BEL,,,,DNF
AC,Martti Tolamo,29,Finland,FIN,,,,DNF
AC,Akilles JÃ¤rvinen,30,Finland,FIN,,,,DNF
AC,JÄnis Dimza,29,Latvia,LAT,,,,DNF
AC,Erwin Reimer,22,Chile,CHI,,,,DNF
AC,Chang Singchow,20,China,CHN,,,,DNF
AC,Karl Vilmundarson,26,Iceland,ISL,,,,DNF
