
Rank,Athlete,Age,Team,NOC,T,P(1934T),P(1985T),
1,Aulis Reinikka,20,Finland,FIN,4:32.4,602,729,=OB
2,Glenn Morris,24,United States,USA,4:33.2,595,724,
3,Osvaldo Wenzel,24,Chile,CHI,4:34.6,584,715,
4,Maurice Boulanger,27,Belgium,BEL,4:35.0,581,712,
5,Erwin Huber,29,Germany,GER,4:35.2,580,711,
6,Olle Bexell,27,Sweden,SWE,4:40.4,541,678,
7,Bob Clark,23,United States,USA,4:44.4,513,653,
8,Fritz DÃ¤llenbach,24,Switzerland,SUI,4:48.0,489,631,
9,Armin Guhl,28,Switzerland,SUI,4:49.2,481,623,
10,Josef Klein,19,Czechoslovakia,TCH,4:49.6,478,621,
11,Helmut Bonnet,26,Germany,GER,4:54.0,450,595,
12,Jerzy PÅawczyk,25,Poland,POL,5:04.0,392,537,
13,Edvard Natvig,28,Norway,NOR,5:05.0,386,531,
14,Jan Brasser,23,Netherlands,NED,5:06.0,381,526,
15,Jack Parker,20,United States,USA,5:07.8,371,516,
16,PÃ©ter BÃ¡csalmÃ¡si,27,Hungary,HUN,5:30.6,262,396,
17,Lyuben Doychev,24,Bulgaria,BUL,5:34.2,247,379,
