
Rank,Athlete,Age,Team,NOC,H,P(1934T),P(1985T),
1T,Aulis Reinikka,20,Finland,FIN,3.90,862,590,
1T,PÃ©ter BÃ¡csalmÃ¡si,27,Hungary,HUN,3.90,862,590,
3,Erwin Huber,29,Germany,GER,3.80,818,562,
4T,Edvard Natvig,28,Norway,NOR,3.70,775,535,
4T,Jerzy PÅawczyk,25,Poland,POL,3.70,775,535,
4T,Lyuben Doychev,24,Bulgaria,BUL,3.70,775,535,
4T,Olle Bexell,27,Sweden,SWE,3.70,775,535,
4T,Bob Clark,23,United States,USA,3.70,775,535,
4T,ZoltÃ¡n CsÃ¡nyi,23,Hungary,HUN,3.70,775,535,
10T,Fritz DÃ¤llenbach,24,Switzerland,SUI,3.60,733,509,
10T,Helmut Bonnet,26,Germany,GER,3.60,733,509,
12T,Glenn Morris,24,United States,USA,3.50,692,482,
12T,Jack Parker,20,United States,USA,3.50,692,482,
14,Jan Brasser,23,Netherlands,NED,3.40,652,457,
15T,Armin Guhl,28,Switzerland,SUI,3.30,613,431,
15T,Leif Dahlgren,30,Sweden,SWE,3.30,613,431,
15T,Maurice Boulanger,27,Belgium,BEL,3.30,613,431,
15T,Willy BÃ¼hrer,24,Switzerland,SUI,3.30,613,431,
19T,Franz Sterzl,28,Austria,AUT,3.20,575,406,
19T,Osvaldo Wenzel,24,Chile,CHI,3.20,575,406,
21,Josef Klein,19,Czechoslovakia,TCH,3.10,538,381,
