
Rank,Athlete,Age,Team,NOC,T,P(1934T),P(1985T),
1,Bob Clark,23,United States,USA,10.9,872,830,OB
2,Glenn Morris,24,United States,USA,11.1,814,786,
3,Armin Guhl,28,Switzerland,SUI,11.3,760,744,
4T,Ãmile Binet,28,Belgium,BEL,11.4,735,723,
4T,Jack Parker,20,United States,USA,11.4,735,723,
4T,Akilles JÃ¤rvinen,30,Finland,FIN,11.4,735,723,
7T,Martti Tolamo,29,Finland,FIN,11.5,710,703,
7T,Lyuben Doychev,24,Bulgaria,BUL,11.5,710,703,
7T,Erwin Huber,29,Germany,GER,11.5,710,703,
10T,ZoltÃ¡n CsÃ¡nyi,23,Hungary,HUN,11.6,686,683,
10T,Olle Bexell,27,Sweden,SWE,11.6,686,683,
10T,Jan Brasser,23,Netherlands,NED,11.6,686,683,
10T,Jerzy PÅawczyk,25,Poland,POL,11.6,686,683,
10T,Helmut Bonnet,26,Germany,GER,11.6,686,683,
10T,Leif Dahlgren,30,Sweden,SWE,11.6,686,683,
10T,Josef Klein,19,Czechoslovakia,TCH,11.6,686,683,
17,Franz Sterzl,28,Austria,AUT,11.7,662,663,
18,Willy BÃ¼hrer,24,Switzerland,SUI,11.8,640,643,
19T,Fritz DÃ¤llenbach,24,Switzerland,SUI,11.9,618,624,
19T,JÄnis Dimza,29,Latvia,LAT,11.9,618,624,
21,Erwin Reimer,22,Chile,CHI,12.0,597,605,
22T,Edvard Natvig,28,Norway,NOR,12.1,576,586,
22T,Aulis Reinikka,20,Finland,FIN,12.1,576,586,
22T,PÃ©ter BÃ¡csalmÃ¡si,27,Hungary,HUN,12.1,576,586,
25T,Chang Singchow,20,China,CHN,12.2,556,567,
25T,Osvaldo Wenzel,24,Chile,CHI,12.2,556,567,
27,Maurice Boulanger,27,Belgium,BEL,12.4,517,531,
28,Karl Vilmundarson,26,Iceland,ISL,12.6,481,495,
