
Rank,Athlete,Age,Team,NOC,D,P(1934T),P(1985T),
1,Glenn Morris,24,United States,USA,14.10,826,734,
2,ZoltÃ¡n CsÃ¡nyi,23,Hungary,HUN,14.00,816,728,
3,JÄnis Dimza,29,Latvia,LAT,13.66,781,708,
4,Olle Bexell,27,Sweden,SWE,13.54,769,700,
5,Akilles JÃ¤rvinen,30,Finland,FIN,13.53,768,700,
6,Jack Parker,20,United States,USA,13.52,767,699,
7,Jan Brasser,23,Netherlands,NED,13.49,764,697,
8,Helmut Bonnet,26,Germany,GER,13.50,765,698,
9,Willy BÃ¼hrer,24,Switzerland,SUI,13.25,740,682,
10,Edvard Natvig,28,Norway,NOR,12.89,705,661,
11,Aulis Reinikka,20,Finland,FIN,12.74,690,651,
12,Erwin Huber,29,Germany,GER,12.70,687,649,
13T,Martti Tolamo,29,Finland,FIN,12.68,685,648,
13T,Bob Clark,23,United States,USA,12.68,685,648,
15,Leif Dahlgren,30,Sweden,SWE,12.63,680,645,
16,Osvaldo Wenzel,24,Chile,CHI,12.43,661,633,
17,Armin Guhl,28,Switzerland,SUI,12.30,649,625,
18,Lyuben Doychev,24,Bulgaria,BUL,12.26,645,622,
19,Jerzy PÅawczyk,25,Poland,POL,11.94,615,603,
20,PÃ©ter BÃ¡csalmÃ¡si,27,Hungary,HUN,11.77,600,592,
21,Fritz DÃ¤llenbach,24,Switzerland,SUI,11.59,584,582,
22,Josef Klein,19,Czechoslovakia,TCH,10.99,530,545,
23,Franz Sterzl,28,Austria,AUT,10.98,530,545,
24,Maurice Boulanger,27,Belgium,BEL,9.92,440,481,
25,Ãmile Binet,28,Belgium,BEL,8.26,311,382,
