
Rank,Athlete,Age,Team,NOC,H,P(1934T),P(1985T),
1,Jan Brasser,23,Netherlands,NED,1.90,909,714,
2T,Edvard Natvig,28,Norway,NOR,1.85,846,670,
2T,Glenn Morris,24,United States,USA,1.85,846,670,
2T,Jerzy PÅawczyk,25,Poland,POL,1.85,846,670,
5T,Armin Guhl,28,Switzerland,SUI,1.80,786,627,
5T,Jack Parker,20,United States,USA,1.80,786,627,
5T,Bob Clark,23,United States,USA,1.80,786,627,
8T,Akilles JÃ¤rvinen,30,Finland,FIN,1.75,727,585,
8T,Franz Sterzl,28,Austria,AUT,1.75,727,585,
8T,Helmut Bonnet,26,Germany,GER,1.75,727,585,
8T,Leif Dahlgren,30,Sweden,SWE,1.75,727,585,
8T,Martti Tolamo,29,Finland,FIN,1.75,727,585,
8T,Olle Bexell,27,Sweden,SWE,1.75,727,585,
8T,PÃ©ter BÃ¡csalmÃ¡si,27,Hungary,HUN,1.75,727,585,
8T,Willy BÃ¼hrer,24,Switzerland,SUI,1.75,727,585,
16T,Aulis Reinikka,20,Finland,FIN,1.70,671,544,
16T,Erwin Huber,29,Germany,GER,1.70,671,544,
16T,Fritz DÃ¤llenbach,24,Switzerland,SUI,1.70,671,544,
16T,JÄnis Dimza,29,Latvia,LAT,1.70,671,544,
16T,Lyuben Doychev,24,Bulgaria,BUL,1.70,671,544,
21T,Osvaldo Wenzel,24,Chile,CHI,1.65,616,504,
21T,Ãmile Binet,28,Belgium,BEL,1.65,616,504,
23T,Maurice Boulanger,27,Belgium,BEL,1.60,563,464,
23T,ZoltÃ¡n CsÃ¡nyi,23,Hungary,HUN,1.60,563,464,
25,Josef Klein,19,Czechoslovakia,TCH,1.55,512,426,
