
Rank,Athlete,Age,Team,NOC,T,P(1912BT),P(1985T),
1,Wolrad Eberle,24,Germany,GER,4:34.4,774.4,716,
2,Bob Tisdall,25,Ireland,IRL,4:34.4,774.4,716,
3,Paavo YrjÃ¶lÃ¤,30,Finland,FIN,4:37.4,756.4,697,
4,Buster Charles,24,United States,USA,4:39.8,742.0,682,
5,Akilles JÃ¤rvinen,26,Finland,FIN,4:47.0,698.8,637,
6,Erwin Wegner,23,Germany,GER,4:47.8,694.0,632,
7,Clyde Coffman,21,United States,USA,4:48.0,692.8,631,
8,Jim Bausch,26,United States,USA,5:17.0,518.8,466,
9,Hans-Heinrich Sievert,22,Germany,GER,5:18.0,512.8,461,
10,PÃ©ter BÃ¡csalmÃ¡si,23,Hungary,HUN,5:34.6,413.2,377,
11,Harry Hart,26,South Africa,RSA,5:48.2,331.6,314,
