
Rank,Athlete,Age,Team,NOC,T(H),T(A),P(1952HT),P(1985HT),P(1985AT),
1,Yang C. K.,27,Chinese Taipei,TPE,10.7,10.88,1.034,874,888,=OB
2,Klaus Grogorenz,23,Germany,GER,10.8,10.95,990,852,872,
3,Rafer Johnson,25,United States,USA,10.9,11.07,948,830,845,
4T,HÃ©ctor Thomas,21,Venezuela,VEN,11.1,11.22,870,786,812,
4T,Seppo Suutari,19,Finland,FIN,11.1,11.24,870,786,808,
4T,Vasily Kuznetsov,28,Soviet Union,URS,11.1,11.25,870,786,806,
7,Mirko Kolnik,24,Yugoslavia,YUG,11.2,11.29,834,765,797,
8T,Herman Timme,27,Netherlands,NED,11.3,11.43,800,744,767,
8T,Fritz Vogelsang,27,Switzerland,SUI,11.3,11.45,800,744,763,
8T,Rodolfo Mijares,22,Mexico,MEX,11.3,11.45,800,744,763,
8T,Walter Meier,33,Germany,GER,11.3,11.45,800,744,763,
8T,Eef Kamerbeek,26,Netherlands,NED,11.3,11.49,800,744,755,
13T,Yuriy Kutenko,28,Soviet Union,URS,11.4,11.50,768,723,753,
13T,Franco Sar,26,Italy,ITA,11.4,11.51,768,723,750,
13T,Manfred Bock,19,Germany,GER,11.4,11.53,768,723,746,
13T,Dave Edstrom,21,United States,USA,11.4,11.54,768,723,744,
17T,Phil Mulkey,27,United States,USA,11.5,11.56,737,703,740,
17T,LÃ©opold Marien,26,Belgium,BEL,11.5,11.63,737,703,725,
17T,Alois BÃ¼chel,19,Liechtenstein,LIE,11.5,11.66,737,703,719,
17T,Hans Muchitsch,27,Austria,AUT,11.5,11.66,737,703,719,
17T,Markus Kahma,27,Finland,FIN,11.5,11.69,737,703,713,
22T,Iuri Diachk'ovi,20,Soviet Union,URS,11.6,11.69,707,683,713,
22T,Juris Laipenieks,20,Chile,CHI,11.6,11.73,707,683,705,
22T,JoÅ¾e Brodnik,24,Yugoslavia,YUG,11.6,11.74,707,683,703,
22T,Gurbachan Singh Randhawa,21,India,IND,11.6,11.78,707,683,695,
26,Panagiotis Epitropopoulos,22,Greece,GRE,11.7,11.76,678,663,699,
27T,BjÃ¶rgvin HÃ³lm,25,Iceland,ISL,11.8,11.89,650,643,673,
27T,Luciano Paccagnella,21,Italy,ITA,11.8,11.93,650,643,665,
29T,George Stulac,26,Canada,CAN,12.0,12.13,597,605,626,
29T,JÃºlio Vilar Santos,24,Portugal,POR,12.0,12.15,597,605,622,
