
Rank,Athlete,Age,Team,NOC,T,P(1952T),P(1985T),
1,Markus Kahma,27,Finland,FIN,4:22.8,582,793,
2,Hans Muchitsch,27,Austria,AUT,4:23.3,575,789,
3,Klaus Grogorenz,23,Germany,GER,4:27.0,536,764,
4,Manfred Bock,19,Germany,GER,4:27.6,530,760,
5,Fritz Vogelsang,27,Switzerland,SUI,4:27.7,528,760,
6,Walter Meier,33,Germany,GER,4:30.6,500,741,
7,JoÅ¾e Brodnik,24,Yugoslavia,YUG,4:37.7,434,695,
8,LÃ©opold Marien,26,Belgium,BEL,4:40.0,414,680,
9,BjÃ¶rgvin HÃ³lm,25,Iceland,ISL,4:40.6,409,677,
10,Eef Kamerbeek,26,Netherlands,NED,4:43.6,384,658,
11,Yuriy Kutenko,28,Soviet Union,URS,4:44.2,379,654,
12,Yang C. K.,27,Chinese Taipei,TPE,4:48.5,345,628,
13,Franco Sar,26,Italy,ITA,4:49.2,340,623,
14,Rodolfo Mijares,22,Mexico,MEX,4:49.3,339,623,
15,Rafer Johnson,25,United States,USA,4:49.7,336,620,
16,Vasily Kuznetsov,28,Soviet Union,URS,4:53.8,306,596,
17,Panagiotis Epitropopoulos,22,Greece,GRE,4:55.0,297,589,
18,Luciano Paccagnella,21,Italy,ITA,4:55.4,294,587,
19,Juris Laipenieks,20,Chile,CHI,4:57.5,279,574,
20,George Stulac,26,Canada,CAN,4:59.6,265,562,
21,Seppo Suutari,19,Finland,FIN,5:04.8,231,532,
22,Herman Timme,27,Netherlands,NED,5:21.4,137,443,
23,HÃ©ctor Thomas,21,Venezuela,VEN,5:25.2,116,423,
