
Rank,Athlete,Age,Team,NOC,T,P(1952T),P(1985T),
1,Klaus Grogorenz,23,Germany,GER,48.0,1.015,902,OB
2,Yang C. K.,27,Chinese Taipei,TPE,48.1,1.005,898,
3,Rafer Johnson,25,United States,USA,48.3,985,888,
4,Walter Meier,33,Germany,GER,49.5,884,831,
5,Fritz Vogelsang,27,Switzerland,SUI,50.0,844,808,
6,Vasily Kuznetsov,28,Soviet Union,URS,50.2,828,799,
7T,LÃ©opold Marien,26,Belgium,BEL,50.5,807,785,
7T,Manfred Bock,19,Germany,GER,50.5,807,785,
7T,Markus Kahma,27,Finland,FIN,50.5,807,785,
7T,Rodolfo Mijares,22,Mexico,MEX,50.5,807,785,
11,Iuri Diachk'ovi,20,Soviet Union,URS,50.7,793,776,
12,JoÅ¾e Brodnik,24,Yugoslavia,YUG,51.0,772,763,
13T,Eef Kamerbeek,26,Netherlands,NED,51.1,765,758,
13T,Yuriy Kutenko,28,Soviet Union,URS,51.1,765,758,
15,Herman Timme,27,Netherlands,NED,51.2,758,754,
16T,Franco Sar,26,Italy,ITA,51.3,751,749,
16T,Hans Muchitsch,27,Austria,AUT,51.3,751,749,
18T,BjÃ¶rgvin HÃ³lm,25,Iceland,ISL,51.8,716,727,
18T,Seppo Suutari,19,Finland,FIN,51.8,716,727,
20,Gurbachan Singh Randhawa,21,India,IND,52.0,702,719,
21,Phil Mulkey,27,United States,USA,52.2,690,710,
22,George Stulac,26,Canada,CAN,53.0,642,676,
23,Juris Laipenieks,20,Chile,CHI,53.2,630,667,
24,Panagiotis Epitropopoulos,22,Greece,GRE,53.6,606,650,
25,Mirko Kolnik,24,Yugoslavia,YUG,53.9,588,638,
26,HÃ©ctor Thomas,21,Venezuela,VEN,54.1,576,630,
27,Luciano Paccagnella,21,Italy,ITA,54.3,565,622,
