
Rank,Athlete,Age,Team,NOC,T(H),T(A),P(1952HT),P(1985HT),P(1985AT),
1,Yang C. K.,27,Chinese Taipei,TPE,14.6,14.80,923,869,874,
2,Franco Sar,26,Italy,ITA,14.7,14.88,894,857,864,
3,Eef Kamerbeek,26,Netherlands,NED,14.9,15.03,840,833,846,
4,Vasily Kuznetsov,28,Soviet Union,URS,15.0,15.15,813,821,831,
5T,Fritz Vogelsang,27,Switzerland,SUI,15.3,15.44,740,785,797,
5T,Iuri Diachk'ovi,20,Soviet Union,URS,15.3,15.45,740,785,796,
5T,Rafer Johnson,25,United States,USA,15.3,15.46,740,785,795,
8,LÃ©opold Marien,26,Belgium,BEL,15.5,15.66,694,762,772,
9T,Seppo Suutari,19,Finland,FIN,15.6,15.70,673,751,767,
9T,Yuriy Kutenko,28,Soviet Union,URS,15.6,15.74,673,751,762,
11T,JoÅ¾e Brodnik,24,Yugoslavia,YUG,15.7,15.79,652,740,757,
11T,Herman Timme,27,Netherlands,NED,15.7,15.88,652,740,746,
11T,Luciano Paccagnella,21,Italy,ITA,15.7,15.98,652,740,735,
14,Hans Muchitsch,27,Austria,AUT,15.8,15.99,632,728,734,
15,Markus Kahma,27,Finland,FIN,15.9,16.05,612,717,727,
16,Walter Meier,33,Germany,GER,16.0,16.11,593,706,720,
17,Manfred Bock,19,Germany,GER,16.1,16.27,575,695,703,
18,BjÃ¶rgvin HÃ³lm,25,Iceland,ISL,16.2,16.37,557,684,692,
19,Gurbachan Singh Randhawa,21,India,IND,16.4,16.55,523,662,672,
20T,Klaus Grogorenz,23,Germany,GER,16.9,16.98,443,610,626,
20T,HÃ©ctor Thomas,21,Venezuela,VEN,16.9,17.01,443,610,623,
22,Juris Laipenieks,20,Chile,CHI,17.1,17.22,413,589,602,
23,Rodolfo Mijares,22,Mexico,MEX,17.3,17.45,385,569,578,
24T,Panagiotis Epitropopoulos,22,Greece,GRE,18.1,18.25,283,492,500,
24T,Phil Mulkey,27,United States,USA,18.1,18.25,283,492,500,
26,George Stulac,26,Canada,CAN,18.4,18.57,250,464,471,
