
Rank,Athlete,Age,Team,NOC,H,P(1962T),P(1985T),
1,Mykola Avilov,24,Soviet Union,URS,2.12,959,915,OB
2,Joachim Kirst,25,East Germany,GDR,2.10,942,896,
3T,Freddy Herbrand,28,Belgium,BEL,2.04,891,840,
3T,Tadeusz Janczenko,26,Poland,POL,2.04,891,840,
5T,Sepp Zeilbauer,19,Austria,AUT,2.01,865,813,
5T,Radu GavrilaÈ,20,Romania,ROU,2.01,865,813,
5T,Roger Lespagnard,25,Belgium,BEL,2.01,865,813,
5T,Steen Smidt-Jensen,27,Denmark,DEN,2.01,865,813,
9T,Heinz Born,24,Switzerland,SUI,1.98,840,785,
9T,Ryszard Skowronek,23,Poland,POL,1.98,840,785,
11T,Boris Ivanov,24,Soviet Union,URS,1.92,788,731,
11T,Bruce Jenner,22,United States,USA,1.92,788,731,
11T,Hans-Joachim Walde,30,West Germany,FRG,1.92,788,731,
11T,Ryszard Katus,25,Poland,POL,1.92,788,731,
11T,Stefan Schreyer,25,East Germany,GDR,1.92,788,731,
16T,Barry King,27,Great Britain,GBR,1.89,760,705,
16T,JÃ³zsef Bakai,30,Hungary,HUN,1.89,760,705,
16T,Leonid Lytvynenko,23,Soviet Union,URS,1.89,760,705,
16T,RÃ©gis GhesquiÃ¨re,23,Belgium,BEL,1.89,760,705,
16T,Ruedi Mangisch,19,Switzerland,SUI,1.89,760,705,
21T,Gerry Moro,29,Canada,CAN,1.86,734,679,
21T,Jeff Bannister,26,United States,USA,1.86,734,679,
21T,Jeff Bennett,23,United States,USA,1.86,734,679,
21T,Peter Gabbett,30,Great Britain,GBR,1.86,734,679,
25T,Vijay Singh Chauhan,23,India,IND,1.80,680,627,
25T,Yves Le Roy,21,France,FRA,1.80,680,627,
27T,Luis Flores,24,Guatemala,GUA,1.75,634,585,
27T,Clifford Brooks,28,Barbados,BAR,1.75,634,585,
29,Wilfred Mwalawanda,27,Malawi,MAW,1.65,540,504,
30,Jean-Pierre Schoebel,23,France,FRA,1.60,493,464,
