
Rank,Athlete,Age,Team,NOC,T(A),P(1971AT),P(1985AT),
1,Mykola Avilov,24,Soviet Union,URS,14.31,926,935,
2,Ryszard Katus,25,Poland,POL,14.41,914,922,
3,Steen Smidt-Jensen,27,Denmark,DEN,14.65,887,892,
4,Boris Ivanov,24,Soviet Union,URS,14.76,874,879,
5,Freddy Herbrand,28,Belgium,BEL,14.87,862,865,
6,Stefan Schreyer,25,East Germany,GDR,15.00,848,849,
7,Vijay Singh Chauhan,23,India,IND,15.01,847,848,
8,Leonid Lytvynenko,23,Soviet Union,URS,15.03,845,846,
9T,Sepp Zeilbauer,19,Austria,AUT,15.13,835,834,
9T,Radu GavrilaÈ,20,Romania,ROU,15.13,835,834,
11,Jean-Pierre Schoebel,23,France,FRA,15.30,817,814,
12,Yves Le Roy,21,France,FRA,15.34,813,809,
13,Heinz Born,24,Switzerland,SUI,15.39,808,803,
14,Peter Gabbett,30,Great Britain,GBR,15.47,800,794,
15,Jeff Bennett,23,United States,USA,15.58,789,781,
16,Bruce Jenner,22,United States,USA,15.59,788,780,
17,RÃ©gis GhesquiÃ¨re,23,Belgium,BEL,15.68,779,769,
18,Ruedi Mangisch,19,Switzerland,SUI,15.71,776,766,
19,Ryszard Skowronek,23,Poland,POL,15.74,773,762,
20,Roger Lespagnard,25,Belgium,BEL,15.84,764,751,
21,Gerry Moro,29,Canada,CAN,16.28,723,701,
22,Clifford Brooks,28,Barbados,BAR,16.37,715,692,
23,JÃ³zsef Bakai,30,Hungary,HUN,16.50,703,677,
24,Barry King,27,Great Britain,GBR,16.61,694,666,
25,Tadeusz Janczenko,26,Poland,POL,16.89,670,636,
26,Luis Flores,24,Guatemala,GUA,17.44,625,579,
27,Wilfred Mwalawanda,27,Malawi,MAW,18.54,543,474,
AC,Joachim Kirst,25,East Germany,GDR,,0,0,DNF
AC,Jeff Bannister,26,United States,USA,,0,0,DQ
