
Rank,Athlete,Age,Team,NOC,T(A),P(1971AT),P(1985AT),
1,Tadeusz Janczenko,26,Poland,POL,10.64,895,942,
2,Peter Gabbett,30,Great Britain,GBR,10.65,893,940,
3,Jeff Bennett,23,United States,USA,10.73,872,922,
4,Ryszard Skowronek,23,Poland,POL,10.78,859,910,
5,Ruedi Mangisch,19,Switzerland,SUI,10.79,857,908,
6,Stefan Schreyer,25,East Germany,GDR,10.82,849,901,
7,Ryszard Katus,25,Poland,POL,10.89,831,885,
8,Yves Le Roy,21,France,FRA,10.94,819,874,
9,Sepp Zeilbauer,19,Austria,AUT,10.97,812,867,
10T,Mykola Avilov,24,Soviet Union,URS,11.00,804,861,
10T,Freddy Herbrand,28,Belgium,BEL,11.00,804,861,
12,Steen Smidt-Jensen,27,Denmark,DEN,11.07,787,845,
13,JÃ³zsef Bakai,30,Hungary,HUN,11.08,785,843,
14,Jeff Bannister,26,United States,USA,11.09,783,841,
15T,Hans-Joachim Walde,30,West Germany,FRG,11.11,778,836,
15T,Jean-Pierre Schoebel,23,France,FRA,11.11,778,836,
17,Joachim Kirst,25,East Germany,GDR,11.12,775,834,
18,Leonid Lytvynenko,23,Soviet Union,URS,11.13,773,832,
19,Clifford Brooks,28,Barbados,BAR,11.19,759,819,
20,Boris Ivanov,24,Soviet Union,URS,11.24,747,808,
21,Roger Lespagnard,25,Belgium,BEL,11.27,740,801,
22,Barry King,27,Great Britain,GBR,11.32,728,791,
23,Hans-Joachim Perk,26,West Germany,FRG,11.34,724,786,
24T,Bruce Jenner,22,United States,USA,11.35,721,784,
24T,Heinz Born,24,Switzerland,SUI,11.35,721,784,
24T,Vijay Singh Chauhan,23,India,IND,11.35,721,784,
27,RÃ©gis GhesquiÃ¨re,23,Belgium,BEL,11.45,699,763,
28,Gerry Moro,29,Canada,CAN,11.49,690,755,
29,Lennart Hedmark,28,Sweden,SWE,11.53,681,746,
30,Radu GavrilaÈ,20,Romania,ROU,11.57,672,738,
31,Luis Flores,24,Guatemala,GUA,11.59,668,734,
32,Horst Beyer,32,West Germany,FRG,11.64,657,723,
33,Wilfred Mwalawanda,27,Malawi,MAW,11.95,591,661,
