
Rank,Athlete,Age,Team,NOC,T(A),T(H),P(1971HT),P(1977AT),P(1985AT),
1,Claus Marek,22,West Germany,FRG,47.12,47.1,943,942,952,
2,Bruce Jenner,26,United States,USA,47.51,47.5,923,922,933,
3,Eberhard Stroot,25,West Germany,FRG,47.61,47.6,918,917,928,
4,Ryszard Skowronek,27,Poland,POL,47.91,47.9,903,903,913,
5,Raimo Pihl,26,Sweden,SWE,47.97,48.0,898,900,911,
6,Daley Thompson,17,Great Britain,GBR,48.15,48.2,889,891,902,
7,Mykola Avilov,27,Soviet Union,URS,48.16,48.2,889,891,901,
8,Guido Kratschmer,23,West Germany,FRG,48.19,48.2,889,889,900,
9,Fred Dixon,26,United States,USA,48.38,48.4,880,880,891,
10,Leonid Lytvynenko,27,Soviet Union,URS,48.44,48.4,880,877,888,
11,Sepp Zeilbauer,23,Austria,AUT,48.94,48.9,856,854,864,
12,Roger Lespagnard,29,Belgium,BEL,48.99,49.0,852,851,862,
13,Siegfried Stark,21,East Germany,GDR,49.14,49.1,847,844,855,
14,Aleksandr Grebenyuk,25,Soviet Union,URS,49.21,49.2,842,841,851,
15,Johannes Lahti,24,Finland,FIN,49.34,49.3,838,835,845,
16,Philippe Bobin,21,France,FRA,49.79,49.8,814,815,824,
17,Lennart Hedmark,32,Sweden,SWE,49.80,49.8,814,814,824,
18,Ryszard Katus,29,Poland,POL,49.87,49.9,810,811,821,
19,Fred Samara,26,United States,USA,50.07,50.1,801,802,811,
20,Georg Werthner,20,Austria,AUT,50.08,50.1,801,802,811,
21,Gilles GÃ©mise-Fareau,22,France,FRA,50.09,50.1,801,801,810,
22,Tito Steiner,24,Argentina,ARG,50.30,50.3,792,792,801,
23,RÃ©gis GhesquiÃ¨re,27,Belgium,BEL,50.32,50.3,792,791,800,
24,LudÄk Pernica,26,Czechoslovakia,TCH,50.37,50.4,788,789,798,
25,Runald Beckman,25,Sweden,SWE,50.66,50.7,775,776,784,
26,ElÃ­as Sveinsson,24,Iceland,ISL,51.77,51.8,728,729,735,
27,Eltjo Schutter,23,Netherlands,NED,2:20.43,2:20.4,0,0,0,
