Rank,Athlete,Age,Team,NOC,Medal,P(1985AT),
1,Roman Å ebrle,29,Czech Republic,CZE,Gold,8893,OR
2,Bryan Clay,24,United States,USA,Silver,8820,
3,Dmitry Karpov,23,Kazakhstan,KAZ,Bronze,8725,
4,Dean Macey,26,Great Britain,GBR,,8414,
5,Chiel Warners,26,Netherlands,NED,,8343,
6,Attila ZsivÃ³czky,27,Hungary,HUN,,8287,
7,Laurent Hernu,27,France,FRA,,8237,
8,Erki Nool,34,Estonia,EST,,8235,
9,Claston Bernard,25,Jamaica,JAM,,8225,
10,Roland Schwarzl,23,Austria,AUT,,8102,
11,Aleksandr Pogorelov,24,Russia,RUS,,8084,
12,Florian SchÃ¶nbeck,30,Germany,GER,,8077,
13,Romain Barras,24,France,FRA,,8067,
14,Maurice Smith,23,Jamaica,JAM,,8023,
15,Nikolay Averyanov,24,Russia,RUS,,8021,
16,Jaakko Ojaniemi,23,Finland,FIN,,8006,
17,Vitaly Smirnov,25,Uzbekistan,UZB,,7993,
18,Qi Haifeng,21,China,CHN,,7934,
19,Stefan Drews,25,Germany,GER,,7926,
20,Aleksandr Parkhomenko,23,Belarus,BLR,,7918,
21,Paul Terek,24,United States,USA,,7893,
22,David GÃ³mez,23,Spain,ESP,,7865,
23,Indrek Turi,23,Estonia,EST,,7708,
24,Santiago Lorenzo,26,Argentina,ARG,,7592,
25,JÄnis KarlivÄns,22,Latvia,LAT,,7583,
26,Prodromos Korkizoglou,29,Greece,GRE,,7573,
27,Hans Olav Uldal,21,Norway,NOR,,7495,
28,Paolo Casarsa,29,Italy,ITA,,7404,
29,EugÃ¨ne Martineau,24,Netherlands,NED,,7185,
30,Victor Covalenco,28,Moldova,MDA,,6543,
AC,Tom Pappas,27,United States,USA,,,DNF
AC,Luiggy Llanos,25,Puerto Rico,PUR,,,DNF
AC,Pavel Andreyev,25,Uzbekistan,UZB,,,DNF
AC,Ahmad Hassan Moussa,23,Qatar,QAT,,,DNF
AC,Dennis Leyckes,22,Germany,GER,,,DNF
AC,JÃ³n Arnar MagnÃºsson,35,Iceland,ISL,,,DNF
AC,Kristjan Rahnu,24,Estonia,EST,,,DNF
AC,Lev Lobodin,35,Russia,RUS,,,DNF
AC,TomÃ¡Å¡ DvoÅÃ¡k,32,Czech Republic,CZE,,,DNF
