Rank,Athlete,Age,Team,NOC,Medal,P(1912BT),P(1985T),
1,Harold Osborn,25,United States,USA,Gold,7710.775,6476,WR
2,Emerson Norton,23,United States,USA,Silver,7350.895,6117,
3,Aleksander Klumberg,25,Estonia,EST,Bronze,7329.36,6057,
4,Antti Huusari,25,Finland,FIN,,7005.175,5952,
5,Ernest Sutherland,30,South Africa,RSA,,6794.1425,5749,
6,Ernst Gerspach,27,Switzerland,SUI,,6743.53,5765,
7,Helge Jansson,19,Sweden,SWE,,6656.16,5633,
8,Harry Frieda,22,United States,USA,,6618.3,5541,
9,Paavo YrjÃ¶lÃ¤,21,Finland,FIN,,6548.525,5547,
10,Harry de Keijser,23,Netherlands,NED,,6509.61,5458,
11,Adolfo Contoli,26,Italy,ITA,,6406.8825,5543,
12,Antoni Cejzik,23,Poland,POL,,6319.455,5375,
13,Enrique Thompson,26,Argentina,ARG,,6310.525,5615,
14,Gvido Jekals,19,Latvia,LAT,,5981.67,5377,
15,Constant Bucher,24,Switzerland,SUI,,5961.5925,5268,
16,Eugen Uuemaa,20,Estonia,EST,,5899.105,5186,
17,Josse Ruth,,Belgium,BEL,,5866.67,5384,
18,Peroslav FerkoviÄ,21,Yugoslavia,YUG,,5517.925,4975,
19,Bill Shanahan,27,Ireland,IRL,,5426.68,4931,
20,Gaston MÃ©dÃ©cin,23,Monaco,MON,,5347.54,5137,
21,Elmar RÃ¤hn,19,Estonia,EST,,5292.76,4707,
22,Tokushige Noto,22,Japan,JPN,,5248.33,5090,
23,Ãdouard Armand,,Haiti,HAI,,5207.895,4741,
24,Stelios Benardis,,Greece,GRE,,5189.16,4606,
25,Donald Slack,27,Great Britain,GBR,,5148.105,4803,
AC,Gabriel SempÃ©,23,France,FRA,,,,DNF
AC,Percy Spark,29,Great Britain,GBR,,,,DNF
AC,Adolf Meier,22,Switzerland,SUI,,,,DNF
AC,Dennis Duigan,21,Australia,AUS,,,,DNF
AC,Iivari YrjÃ¶lÃ¤,24,Finland,FIN,,,,DNF
AC,Bertil FastÃ©n,24,Sweden,SWE,,,,DNF
AC,Valter Ever,21,Estonia,EST,,,,DNF
AC,Ãuro GaÅ¡par,24,Yugoslavia,YUG,,,,DNF
AC,ElemÃ©r Somfay,25,Hungary,HUN,,,,DNF
AC,Evert Nilsson,29,Sweden,SWE,,,,DNF
AC,Otto Anderson,23,United States,USA,,,,DNF
