
Rank,Athlete,Age,Team,NOC,T,P(1912BT),P(1985T),
1,Harold Osborn,25,United States,USA,16.0,905,706,
2T,Antti Huusari,25,Finland,FIN,16.6,848,641,
2T,Ernest Sutherland,30,South Africa,RSA,16.6,848,641,
2T,Emerson Norton,23,United States,USA,16.6,848,641,
5T,Ernst Gerspach,27,Switzerland,SUI,16.8,829,620,
5T,Josse Ruth,,Belgium,BEL,16.8,829,620,
5T,Bill Shanahan,27,Ireland,IRL,16.8,829,620,
8T,Adolf Meier,22,Switzerland,SUI,17.0,810,599,
8T,Eugen Uuemaa,20,Estonia,EST,17.0,810,599,
10T,Gabriel SempÃ©,23,France,FRA,17.2,791,579,
10T,Tokushige Noto,22,Japan,JPN,17.2,791,579,
12,Adolfo Contoli,26,Italy,ITA,17.4,772,559,
13T,Aleksander Klumberg,25,Estonia,EST,17.6,753,540,
13T,Donald Slack,27,Great Britain,GBR,17.6,753,540,
15T,Antoni Cejzik,23,Poland,POL,17.8,734,520,
15T,Enrique Thompson,26,Argentina,ARG,17.8,734,520,
15T,Gvido Jekals,19,Latvia,LAT,17.8,734,520,
15T,Helge Jansson,19,Sweden,SWE,17.8,734,520,
19,Gaston MÃ©dÃ©cin,23,Monaco,MON,18.0,715,501,
20T,Constant Bucher,24,Switzerland,SUI,18.4,677,464,
20T,Elmar RÃ¤hn,19,Estonia,EST,18.4,677,464,
22,Paavo YrjÃ¶lÃ¤,21,Finland,FIN,18.8,639,429,
23T,Harry Frieda,22,United States,USA,19.0,620,412,
23T,Harry de Keijser,23,Netherlands,NED,19.0,620,412,
23T,Ãdouard Armand,,Haiti,HAI,19.0,620,412,
26,Stelios Benardis,,Greece,GRE,19.2,601,395,
27,Peroslav FerkoviÄ,21,Yugoslavia,YUG,20.4,487,300,
AC,Percy Spark,29,Great Britain,GBR,,0,0,DQ
AC,Dennis Duigan,21,Australia,AUS,,0,0,DQ
AC,Iivari YrjÃ¶lÃ¤,24,Finland,FIN,,0,0,DQ
AC,Bertil FastÃ©n,24,Sweden,SWE,,0,0,DQ
