
Rank,Athlete,Age,Team,NOC,T,P(1912BT),P(1985T),
1,Tokushige Noto,22,Japan,JPN,51.4,879.68,745,
2,Josse Ruth,,Belgium,BEL,51.8,864.64,727,
3T,Dennis Duigan,21,Australia,AUS,52.0,857.12,719,
3T,Enrique Thompson,26,Argentina,ARG,52.0,857.12,719,
5T,Emerson Norton,23,United States,USA,53.0,819.52,676,
5T,Gaston MÃ©dÃ©cin,23,Monaco,MON,53.0,819.52,676,
5T,Ãdouard Armand,,Haiti,HAI,53.0,819.52,676,
8,Harold Osborn,25,United States,USA,53.2,812.00,667,
9T,Antti Huusari,25,Finland,FIN,53.4,804.48,659,
9T,Ernst Gerspach,27,Switzerland,SUI,53.4,804.48,659,
11,Elmar RÃ¤hn,19,Estonia,EST,53.6,796.96,650,
12T,Constant Bucher,24,Switzerland,SUI,54.0,781.92,634,
12T,Harry Frieda,22,United States,USA,54.0,781.92,634,
12T,Iivari YrjÃ¶lÃ¤,24,Finland,FIN,54.0,781.92,634,
15T,Gvido Jekals,19,Latvia,LAT,54.2,774.40,626,
15T,Helge Jansson,19,Sweden,SWE,54.2,774.40,626,
17,Aleksander Klumberg,25,Estonia,EST,54.4,766.88,617,
18T,Bertil FastÃ©n,24,Sweden,SWE,54.6,759.36,609,
18T,Harry de Keijser,23,Netherlands,NED,54.6,759.36,609,
18T,Paavo YrjÃ¶lÃ¤,21,Finland,FIN,54.6,759.36,609,
21,Peroslav FerkoviÄ,21,Yugoslavia,YUG,55.0,744.32,593,
22T,Adolf Meier,22,Switzerland,SUI,55.2,736.80,585,
22T,Donald Slack,27,Great Britain,GBR,55.2,736.80,585,
24T,Antoni Cejzik,23,Poland,POL,55.4,729.28,577,
24T,Eugen Uuemaa,20,Estonia,EST,55.4,729.28,577,
24T,Bill Shanahan,27,Ireland,IRL,55.4,729.28,577,
27T,Adolfo Contoli,26,Italy,ITA,55.8,714.24,562,
27T,Valter Ever,21,Estonia,EST,55.8,714.24,562,
29,Ernest Sutherland,30,South Africa,RSA,56.0,706.72,554,
30,Gabriel SempÃ©,23,France,FRA,56.8,676.64,523,
31,Stelios Benardis,,Greece,GRE,57.6,646.56,493,
32,Percy Spark,29,Great Britain,GBR,59.0,593.92,443,
33,Ãuro GaÅ¡par,24,Yugoslavia,YUG,1:02.2,473.60,337,
