
Rank,Athlete,Age,Team,NOC,T,P(1912BT),P(1985T),
1,Harold Osborn,25,United States,USA,11.2,857.2,765,
2T,Constant Bucher,24,Switzerland,SUI,11.4,809.6,723,
2T,Enrique Thompson,26,Argentina,ARG,11.4,809.6,723,
2T,Ernst Gerspach,27,Switzerland,SUI,11.4,809.6,723,
2T,Gabriel SempÃ©,23,France,FRA,11.4,809.6,723,
2T,Gvido Jekals,19,Latvia,LAT,11.4,809.6,723,
2T,Harry de Keijser,23,Netherlands,NED,11.4,809.6,723,
8T,Adolf Meier,22,Switzerland,SUI,11.6,762.0,683,
8T,Adolfo Contoli,26,Italy,ITA,11.6,762.0,683,
8T,Aleksander Klumberg,25,Estonia,EST,11.6,762.0,683,
8T,Donald Slack,27,Great Britain,GBR,11.6,762.0,683,
8T,Ernest Sutherland,30,South Africa,RSA,11.6,762.0,683,
8T,ElemÃ©r Somfay,25,Hungary,HUN,11.6,762.0,683,
8T,Emerson Norton,23,United States,USA,11.6,762.0,683,
8T,Harry Frieda,22,United States,USA,11.6,762.0,683,
8T,Helge Jansson,19,Sweden,SWE,11.6,762.0,683,
8T,Tokushige Noto,22,Japan,JPN,11.6,762.0,683,
8T,Gaston MÃ©dÃ©cin,23,Monaco,MON,11.6,762.0,683,
8T,Ãdouard Armand,,Haiti,HAI,11.6,762.0,683,
20T,Antoni Cejzik,23,Poland,POL,11.8,714.4,643,
20T,Dennis Duigan,21,Australia,AUS,11.8,714.4,643,
20T,Elmar RÃ¤hn,19,Estonia,EST,11.8,714.4,643,
20T,Eugen Uuemaa,20,Estonia,EST,11.8,714.4,643,
20T,Josse Ruth,,Belgium,BEL,11.8,714.4,643,
20T,Paavo YrjÃ¶lÃ¤,21,Finland,FIN,11.8,714.4,643,
20T,Peroslav FerkoviÄ,21,Yugoslavia,YUG,11.8,714.4,643,
20T,Valter Ever,21,Estonia,EST,11.8,714.4,643,
20T,Bill Shanahan,27,Ireland,IRL,11.8,714.4,643,
20T,Otto Anderson,23,United States,USA,11.8,714.4,643,
30T,Antti Huusari,25,Finland,FIN,12.0,666.8,605,
30T,Bertil FastÃ©n,24,Sweden,SWE,12.0,666.8,605,
30T,Iivari YrjÃ¶lÃ¤,24,Finland,FIN,12.0,666.8,605,
33T,Evert Nilsson,29,Sweden,SWE,12.2,619.2,567,
33T,Stelios Benardis,,Greece,GRE,12.2,619.2,567,
35,Ãuro GaÅ¡par,24,Yugoslavia,YUG,12.6,524.0,495,
36,Percy Spark,29,Great Britain,GBR,12.8,476.4,461,
