
Rank,Athlete,Age,Team,NOC,Medal,P(1952HT),P(1985HT),P(1985AT),
1,Milt Campbell,22,United States,USA,Gold,7937,7.565,7.614,OR
2,Rafer Johnson,21,United States,USA,Silver,7587,7.422,7.457,
3,Vasily Kuznetsov,24,Soviet Union,URS,Bronze,7465,7.330,7.337,
4,Uno Palu,23,Soviet Union,URS,,6930,7.028,7.055,
5,Martin Lauer,19,Germany,GER,,6853,6.910,6.914,
6,Walter Meier,29,Germany,GER,,6773,6.910,6.929,
7,Torbj̦rn Lassenius,25,Finland,FIN,,6565,6.782,6.806,
8,Yang C. K.,23,Chinese Taipei,TPE,,6521,6.697,6.736,
9,Pat Leane,26,Australia,AUS,,6427,6.695,6.723,
10,John Cann,18,Australia,AUS,,6278,6.550,6.567,
11,Ian Bruce,21,Australia,AUS,,6025,6.410,6.431,
12,Nadjmeddin Farabi,,Iran,IRI,,5103,5.711,5.733,
AC,Bob Richards,30,United States,USA,,,,,DNF
AC,Yuriy Kutenko,24,Soviet Union,URS,,,,,DNF
AC,Walter Herssens,26,Belgium,BEL,,,,,DNF
