
Rank,Athlete,Age,Team,NOC,T(H),T(A),P(1952HT),P(1985HT),P(1985AT),
1,Milt Campbell,22,United States,USA,14.0,14.12,1.124,944,959,OB
2,Martin Lauer,19,Germany,GER,14.7,14.97,894,857,853,
3,Vasily Kuznetsov,24,Soviet Union,URS,14.9,15.25,840,833,820,
4,Yang C. K.,23,Chinese Taipei,TPE,15.0,15.20,813,821,825,
5,Rafer Johnson,21,United States,USA,15.1,15.29,788,809,815,
6,Uno Palu,23,Soviet Union,URS,15.4,15.58,716,774,781,
7,John Cann,18,Australia,AUS,15.6,15.85,673,751,750,
8,Yuriy Kutenko,24,Soviet Union,URS,15.8,16.05,632,728,727,
9T,Torbj̦rn Lassenius,25,Finland,FIN,15.9,16.03,612,717,729,
9T,Ian Bruce,21,Australia,AUS,15.9,16.18,612,717,713,
11,Walter Meier,29,Germany,GER,16.1,16.29,575,695,700,
12,Pat Leane,26,Australia,AUS,16.4,16.59,523,662,668,
13,Bob Richards,30,United States,USA,16.8,16.97,458,620,627,
14,Nadjmeddin Farabi,,Iran,IRI,17.4,17.60,372,559,563,
