
Rank,Athlete,Age,Team,NOC,T(H),T(A),P(1952HT),P(1985HT),P(1985AT),
1,Milt Campbell,22,United States,USA,10.8,10.91,990,852,881,
2T,Rafer Johnson,21,United States,USA,10.9,10.99,948,830,863,
2T,John Cann,18,Australia,AUS,10.9,11.06,948,830,847,
4,Martin Lauer,19,Germany,GER,11.1,11.29,870,786,797,
5T,Yang C. K.,23,Chinese Taipei,TPE,11.2,11.29,834,765,797,
5T,Vasily Kuznetsov,24,Soviet Union,URS,11.2,11.36,834,765,782,
7,Walter Meier,29,Germany,GER,11.3,11.48,800,744,757,
8,Pat Leane,26,Australia,AUS,11.4,11.54,768,723,744,
9,Uno Palu,23,Soviet Union,URS,11.5,11.66,737,703,719,
10,Yuriy Kutenko,24,Soviet Union,URS,11.6,11.69,707,683,713,
11T,Bob Richards,30,United States,USA,11.7,11.82,678,663,687,
11T,Ian Bruce,21,Australia,AUS,11.7,11.83,678,663,685,
13T,Torbj̦rn Lassenius,25,Finland,FIN,11.8,11.99,650,643,653,
13T,Walter Herssens,26,Belgium,BEL,11.8,12.04,650,643,643,
15,Nadjmeddin Farabi,,Iran,IRI,12.1,12.28,572,586,597,
