
Rank,Athlete,Age,Team,NOC,T(H),T(A),P(1952HT),P(1985HT),P(1985AT),
1,Martin Lauer,19,Germany,GER,48.2,48.35,995,893,892,OB
2,Milt Campbell,22,United States,USA,48.8,48.83,940,864,869,
3T,Walter Meier,29,Germany,GER,49.3,49.41,900,841,842,
3T,John Cann,18,Australia,AUS,49.3,49.41,900,841,842,
3T,Rafer Johnson,21,United States,USA,49.3,49.49,900,841,838,
6,Vasily Kuznetsov,24,Soviet Union,URS,50.2,50.24,828,799,804,
7,Yuriy Kutenko,24,Soviet Union,URS,50.5,50.67,807,785,784,
8T,Uno Palu,23,Soviet Union,URS,50.8,50.82,786,772,777,
8T,Torbj̦rn Lassenius,25,Finland,FIN,50.8,50.89,786,772,774,
10,Pat Leane,26,Australia,AUS,51.0,51.10,772,763,765,
11T,Ian Bruce,21,Australia,AUS,51.3,51.35,751,749,753,
11T,Yang C. K.,23,Chinese Taipei,TPE,51.3,51.37,751,749,753,
13T,Nadjmeddin Farabi,,Iran,IRI,52.3,52.26,684,706,713,
13T,Bob Richards,30,United States,USA,52.3,52.42,684,706,706,
