
Rank,Athlete,Age,Team,NOC,T(H),T(A),P(1952HT),P(1985AT),
1,Walter Meier,29,Germany,GER,4:20.6,4:20.63,607,807,OB
2,Nadjmeddin Farabi,,Iran,IRI,4:24.8,4:24.88,560,779,
3,Uno Palu,23,Soviet Union,URS,4:35.6,4:35.74,454,708,
4,Torbj̦rn Lassenius,25,Finland,FIN,4:36.2,4:36.28,448,704,
5,Martin Lauer,19,Germany,GER,4:43.8,4:44.03,382,657,
6,John Cann,18,Australia,AUS,4:49.2,4:49.31,340,623,
7,Ian Bruce,21,Australia,AUS,4:50.4,4:50.60,331,616,
8,Milt Campbell,22,United States,USA,4:50.6,4:50.68,330,615,
9,Vasily Kuznetsov,24,Soviet Union,URS,4:53.8,4:54.10,306,596,
10,Rafer Johnson,21,United States,USA,4:54.2,4:54.24,303,594,
11,Pat Leane,26,Australia,AUS,4:56.8,4:56.97,284,578,
12,Yang C. K.,23,Chinese Taipei,TPE,5:00.8,5:00.97,256,555,
