
Rank,Athlete,Age,Team,NOC,Medal,PTS,
1,Ashton Eaton,28,United States,USA,Gold,8893,=OR
2,KÃ©vin Mayer,24,France,FRA,Silver,8834,
3,Damian Warner,26,Canada,CAN,Bronze,8666,
4,Kai Kazmirek,25,Germany,GER,,8580,
5,Larbi Bourrada,28,Algeria,ALG,,8521,
6,Leonel SuÃ¡rez,28,Cuba,CUB,,8460,
7,Zach Ziemek,23,United States,USA,,8392,
8,Thomas Van der Plaetsen,25,Belgium,BEL,,8332,
9,Kurt Felix,28,Grenada,GRN,,8323,
10,Luiz Alberto AraÃºjo,29,Brazil,BRA,,8315,
11,Jeremy Taiwo,26,United States,USA,,8300,
12,Adam Helcelet,24,Czech Republic,CZE,,8291,
13,Bastien Auzeil,26,France,FRA,,8064,
14,Cedric Dubler,21,Australia,AUS,,8024,
15,Arthur Abele,30,Germany,GER,,8013,
16,Lindon Victor,23,Grenada,GRN,,7998,
17,Pau Tonnesen,23,Spain,ESP,,7982,
18,Yordanis GarcÃ­a,27,Cuba,CUB,,7961,
19,Dominik Distelberger,26,Austria,AUT,,7954,
20,Keisuke Ushiro,30,Japan,JPN,,7952,
21,PaweÅ WiesioÅek,24,Poland,POL,,7784,
22,Akihiko Nakamura,25,Japan,JPN,,7612,
23,Karl Robert Saluri,22,Estonia,EST,,7223,
24,Maicel Uibo,23,Estonia,EST,,7170,
26,JiÅÃ­ SÃ½kora,21,Czech Republic,CZE,,6237,
AC,Mihail DudaÅ¡,26,Serbia,SRB,,,DNF
AC,Oleksiy Kasianov,30,Ukraine,UKR,,,DNF
AC,Pieter Braun,23,Netherlands,NED,,,DNF
AC,Rico Freimuth,28,Germany,GER,,,DNF
AC,Willem Coertzen,33,South Africa,RSA,,,DNF
AC,Leonid Andreyev,32,Uzbekistan,UZB,,,DNF
AC,Eelco Sintnicolaas,29,Netherlands,NED,,,DNF
