
Rank,Athlete,Age,Team,NOC,H,P(1962T),P(1985T),
1,Hans-Joachim Walde,22,Germany,GER,1.96,822,767,
2T,Rein Aun,24,Soviet Union,URS,1.93,796,740,
2T,Werner Duttweiler,24,Switzerland,SUI,1.93,796,740,
4T,Horst Beyer,24,Germany,GER,1.90,769,714,
4T,Dick Emberger,26,United States,USA,1.90,769,714,
6T,Paul Herman,23,United States,USA,1.87,743,687,
6T,Koech Kiprop,,Kenya,KEN,1.87,743,687,
8T,Willi Holdorf,24,Germany,GER,1.84,716,661,
8T,Mykhailo Storozhenko,26,Soviet Union,URS,1.84,716,661,
10T,Yang C. K.,31,Chinese Taipei,TPE,1.81,689,636,
10T,ValbjÃ¶rn ÃorlÃ¡ksson,30,Iceland,ISL,1.81,689,636,
10T,Alois BÃ¼chel,23,Liechtenstein,LIE,1.81,689,636,
13T,Russ Hodge,25,United States,USA,1.75,634,585,
13T,Franco Sar,30,Italy,ITA,1.75,634,585,
13T,HÃ©ctor Thomas,26,Venezuela,VEN,1.75,634,585,
16T,Vasily Kuznetsov,32,Soviet Union,URS,1.70,588,544,
16T,Bill Gairdner,23,Canada,CAN,1.70,588,544,
16T,Shosuke Suzuki,27,Japan,JPN,1.70,588,544,
16T,Gerry Moro,21,Canada,CAN,1.70,588,544,
16T,Eef Kamerbeek,30,Netherlands,NED,1.70,588,544,
21,Dramane Sereme,22,Mali,MLI,1.60,493,464,
