
Rank,Athlete,Age,Team,NOC,H,P(1962T),P(1985T),
1T,Yang C. K.,31,Chinese Taipei,TPE,4.60,957,790,OB
1T,Gerry Moro,21,Canada,CAN,4.60,957,790,OB
3T,Vasily Kuznetsov,32,Soviet Union,URS,4.40,909,731,
3T,ValbjÃ¶rn ÃorlÃ¡ksson,30,Iceland,ISL,4.40,909,731,
5,Paul Herman,23,United States,USA,4.35,896,716,
6,Shosuke Suzuki,27,Japan,JPN,4.25,871,688,
7T,Willi Holdorf,24,Germany,GER,4.20,859,673,
7T,Rein Aun,24,Soviet Union,URS,4.20,859,673,
7T,Franco Sar,30,Italy,ITA,4.20,859,673,
10,Hans-Joachim Walde,22,Germany,GER,4.10,832,645,
11,Koech Kiprop,,Kenya,KEN,4.05,820,631,
12T,Mykhailo Storozhenko,26,Soviet Union,URS,4.00,807,617,
12T,Alois BÃ¼chel,23,Liechtenstein,LIE,4.00,807,617,
14,Horst Beyer,24,Germany,GER,3.80,754,562,
15T,Russ Hodge,25,United States,USA,3.70,728,535,
15T,Dick Emberger,26,United States,USA,3.70,728,535,
17,Bill Gairdner,23,Canada,CAN,3.40,644,457,
18,Dramane Sereme,22,Mali,MLI,2.60,403,264,
AC,Werner Duttweiler,24,Switzerland,SUI,,0,0,NH
