
Rank,Athlete,Age,Team,NOC,T,P(1962HT),P(1985HT),
1,Willi Holdorf,24,Germany,GER,48.2,889,893,
2,Rein Aun,24,Soviet Union,URS,48.8,861,864,
3,Yang C. K.,31,Chinese Taipei,TPE,49.0,852,855,
4,Dick Emberger,26,United States,USA,49.1,847,850,
5T,Paul Herman,23,United States,USA,49.2,842,845,
5T,Bill Gairdner,23,Canada,CAN,49.2,842,845,
7T,Hans-Joachim Walde,22,Germany,GER,49.5,829,831,
7T,Vasily Kuznetsov,32,Soviet Union,URS,49.5,829,831,
9,Russ Hodge,25,United States,USA,49.6,824,827,
10,Alois BÃ¼chel,23,Liechtenstein,LIE,49.7,819,822,
11,Horst Beyer,24,Germany,GER,49.8,814,817,
12,ValbjÃ¶rn ÃorlÃ¡ksson,30,Iceland,ISL,50.1,801,804,
13,Werner Duttweiler,24,Switzerland,SUI,50.5,784,785,
14,Shosuke Suzuki,27,Japan,JPN,50.8,770,772,
15,Dramane Sereme,22,Mali,MLI,51.2,753,754,
16,HÃ©ctor Thomas,26,Venezuela,VEN,51.4,744,745,
17T,Gerry Moro,21,Canada,CAN,52.0,720,719,
17T,Eef Kamerbeek,30,Netherlands,NED,52.0,720,719,
19,Franco Sar,30,Italy,ITA,52.2,712,710,
20,Koech Kiprop,,Kenya,KEN,52.8,687,684,
21,Mykhailo Storozhenko,26,Soviet Union,URS,53.6,655,650,
