
Rank,Athlete,Age,Team,NOC,T,P(1912BT),P(1985T),
1T,Akilles JÃ¤rvinen,22,Finland,FIN,15.6,943,751,=OB
1T,Johannes Viljoen,24,South Africa,RSA,15.6,943,751,=OB
3T,Ken Doherty,23,United States,USA,15.8,924,728,
3T,Ludwig Vesely,24,Austria,AUT,15.8,924,728,
3T,Albert Andersson,26,Sweden,SWE,15.8,924,728,
6,Sven Lundgren,26,Sweden,SWE,16.2,886,684,
7,Hugo Barth,24,Germany,GER,16.4,867,662,
8T,Paavo YrjÃ¶lÃ¤,25,Finland,FIN,16.6,848,641,
8T,James Stewart,21,United States,USA,16.6,848,641,
8T,Helge Jansson,23,Sweden,SWE,16.6,848,641,
8T,Wilhelm Ladewig,21,Germany,GER,16.6,848,641,
8T,Adolf Meier,26,Switzerland,SUI,16.6,848,641,
13T,Tom Churchill,20,United States,USA,16.8,829,620,
13T,Tatsuo Toki,24,Japan,JPN,16.8,829,620,
13T,Erwin Huber,21,Germany,GER,16.8,829,620,
13T,Branko Kallay,19,Yugoslavia,YUG,16.8,829,620,
13T,RenÃ© Joannes-Powell,32,Belgium,BEL,16.8,829,620,
18,Henry Lindblad,22,Sweden,SWE,17.0,810,599,
19,Barney Berlinger,20,United States,USA,17.2,791,579,
20,MÃ¡tyÃ¡s Farkas,24,Hungary,HUN,17.6,753,540,
21T,Hermann Lemperle,21,Germany,GER,17.8,734,520,
21T,Con O'Callaghan,,Ireland,IRL,17.8,734,520,
23T,Martti Tolamo,21,Finland,FIN,18.0,715,501,
23T,Stelios Benardis,,Greece,GRE,18.0,715,501,
25T,Antoni Cejzik,28,Poland,POL,18.4,677,464,
25T,Yonetaro Nakazawa,24,Japan,JPN,18.4,677,464,
27,Johan Meimer,23,Estonia,EST,18.6,658,447,
28,GÃ©rard NoÃ«l,27,Belgium,BEL,19.4,582,378,
29T,Gheorghe Csegezi,,Romania,ROU,20.0,525,330,
29T,Gaston MÃ©dÃ©cin,27,Monaco,MON,20.0,525,330,
31,Ion Haidu,,Romania,ROU,20.4,487,300,
32,Howard Ford,22,Great Britain,GBR,20.6,468,286,
33,Gaston Ãtienne,26,Belgium,BEL,20.8,449,272,
