
Rank,Athlete,Age,Team,NOC,D,P(1912BT),P(1985T),
1,Paavo YrjÃ¶lÃ¤,25,Finland,FIN,14.11,877,735,OB
2,Akilles JÃ¤rvinen,22,Finland,FIN,13.64,830,706,
3,Helge Jansson,23,Sweden,SWE,13.59,825,703,
4,Barney Berlinger,20,United States,USA,13.05,771,670,
5,James Stewart,21,United States,USA,13.04,770,670,
6,Hermann Lemperle,21,Germany,GER,12.96,762,665,
7,Ludwig Vesely,24,Austria,AUT,12.58,724,642,
8,Tom Churchill,20,United States,USA,12.28,694,623,
9,Albert Andersson,26,Sweden,SWE,12.19,685,618,
10,Adolf Meier,26,Switzerland,SUI,12.15,681,616,
11T,Antoni Cejzik,28,Poland,POL,12.11,677,613,
11T,Howard Ford,22,Great Britain,GBR,12.11,677,613,
13,Henry Lindblad,22,Sweden,SWE,12.04,670,609,
14,Erwin Huber,21,Germany,GER,11.92,658,602,
15,Ken Doherty,23,United States,USA,11.85,651,597,
16,MÃ¡tyÃ¡s Farkas,24,Hungary,HUN,11.78,644,593,
17,Gaston MÃ©dÃ©cin,27,Monaco,MON,11.67,633,586,
18T,Gunnar Fredriksen,21,Norway,NOR,11.56,622,580,
18T,Gunnar Hagen,23,Norway,NOR,11.56,622,580,
20,Hugo Barth,24,Germany,GER,11.34,600,566,
21,Martti Tolamo,21,Finland,FIN,11.31,597,565,
22,Johan Meimer,23,Estonia,EST,11.20,586,558,
23,Con O'Callaghan,,Ireland,IRL,11.07,573,550,
24T,Tatsuo Toki,24,Japan,JPN,11.03,569,548,
24T,Stelios Benardis,,Greece,GRE,11.03,569,548,
26,Wilhelm Ladewig,21,Germany,GER,10.96,562,543,
27,Sven Lundgren,26,Sweden,SWE,10.76,542,531,
28,George Weightman-Smith,22,South Africa,RSA,10.54,520,518,
29,Ion Haidu,,Romania,ROU,10.51,517,516,
30,Yonetaro Nakazawa,24,Japan,JPN,10.37,503,508,
31,Johannes Viljoen,24,South Africa,RSA,10.17,483,496,
32,GÃ©rard NoÃ«l,27,Belgium,BEL,9.95,461,483,
33,Branko Kallay,19,Yugoslavia,YUG,9.87,453,478,
34,RenÃ© Joannes-Powell,32,Belgium,BEL,9.83,449,475,
35,Gaston Ãtienne,26,Belgium,BEL,9.65,431,465,
36,Gheorghe Csegezi,,Romania,ROU,9.45,411,453,
