
Rank,Athlete,Age,Team,NOC,D,P(1912BT),P(1985T),
1,Paavo YrjÃ¶lÃ¤,25,Finland,FIN,42.09,881.44,707,OB
2,James Stewart,21,United States,USA,40.90,836.22,683,
3,Antoni Cejzik,28,Poland,POL,39.43,780.36,653,
4,Ken Doherty,23,United States,USA,38.72,753.38,639,
5,Tom Churchill,20,United States,USA,38.19,733.24,628,
6,Hermann Lemperle,21,Germany,GER,36.99,687.64,604,
7,Akilles JÃ¤rvinen,22,Finland,FIN,36.95,686.12,604,
8,Helge Jansson,23,Sweden,SWE,36.83,681.56,600,
9,Albert Andersson,26,Sweden,SWE,36.64,674.34,597,
10,MÃ¡tyÃ¡s Farkas,24,Hungary,HUN,35.83,643.56,580,
11,Henry Lindblad,22,Sweden,SWE,35.53,632.16,574,
12,Ludwig Vesely,24,Austria,AUT,35.46,629.50,573,
13,Johan Meimer,23,Estonia,EST,35.32,624.18,570,
14,Sven Lundgren,26,Sweden,SWE,35.04,613.54,564,
15,Hugo Barth,24,Germany,GER,34.89,607.84,561,
16,Tatsuo Toki,24,Japan,JPN,34.01,574.40,544,
17,Adolf Meier,26,Switzerland,SUI,33.43,552.36,532,
18,Erwin Huber,21,Germany,GER,33.07,538.68,525,
19,Martti Tolamo,21,Finland,FIN,32.88,531.46,521,
20,Howard Ford,22,Great Britain,GBR,32.82,529.18,520,
21,Barney Berlinger,20,United States,USA,32.51,517.40,514,
22,Branko Kallay,19,Yugoslavia,YUG,32.24,507.14,509,
23,Con O'Callaghan,,Ireland,IRL,31.69,486.24,498,
24,Ion Haidu,,Romania,ROU,31.59,482.44,496,
25,Yonetaro Nakazawa,24,Japan,JPN,31.43,476.36,493,
26,Stelios Benardis,,Greece,GRE,31.41,475.60,492,
27,Wilhelm Ladewig,21,Germany,GER,30.74,450.14,479,
28,Gaston MÃ©dÃ©cin,27,Monaco,MON,30.71,449.00,478,
29,GÃ©rard NoÃ«l,27,Belgium,BEL,30.50,441.02,474,
30,Gaston Ãtienne,26,Belgium,BEL,29.81,414.80,461,
31,Johannes Viljoen,24,South Africa,RSA,28.95,382.12,444,
32,RenÃ© Joannes-Powell,32,Belgium,BEL,26.73,297.76,401,
33,Gheorghe Csegezi,,Romania,ROU,26.20,277.62,390,
