
Rank,Athlete,Age,Team,NOC,T,P(1912BT),P(1985T),
1,Sven Lundgren,26,Sweden,SWE,4:34.8,772.0,713,
2,Hermann Lemperle,21,Germany,GER,4:41.6,731.2,670,
3,Wilhelm Ladewig,21,Germany,GER,4:42.0,728.8,668,
4,Paavo YrjÃ¶lÃ¤,25,Finland,FIN,4:44.0,716.8,655,
5,Albert Andersson,26,Sweden,SWE,4:44.2,715.6,654,
6,Martti Tolamo,21,Finland,FIN,4:44.8,712.0,650,
7,Erwin Huber,21,Germany,GER,4:46.0,704.8,643,
8,Ludwig Vesely,24,Austria,AUT,4:47.0,698.8,637,
9,Gaston Ãtienne,26,Belgium,BEL,4:51.4,672.4,610,
10,Akilles JÃ¤rvinen,22,Finland,FIN,4:52.4,666.4,604,
11,Ken Doherty,23,United States,USA,4:54.0,656.8,595,
12,Tom Churchill,20,United States,USA,4:55.0,650.8,589,
13,Gheorghe Csegezi,,Romania,ROU,5:03.8,598.0,538,
14,Hugo Barth,24,Germany,GER,5:04.6,593.2,534,
15,Tatsuo Toki,24,Japan,JPN,5:10.8,556.0,499,
16,Antoni Cejzik,28,Poland,POL,5:11.4,552.4,496,
17,Stelios Benardis,,Greece,GRE,5:13.8,538.0,483,
18,Johan Meimer,23,Estonia,EST,5:16.2,523.6,470,
19,James Stewart,21,United States,USA,5:17.0,518.8,466,
20,RenÃ© Joannes-Powell,32,Belgium,BEL,5:18.6,509.2,457,
21,Henry Lindblad,22,Sweden,SWE,5:23.2,481.6,434,
22,Helge Jansson,23,Sweden,SWE,5:27.0,458.8,414,
23,Branko Kallay,19,Yugoslavia,YUG,5:50.8,316.0,303,
24,Yonetaro Nakazawa,24,Japan,JPN,5:54.6,293.2,287,
25,Barney Berlinger,20,United States,USA,5:58.6,269.2,270,
AC,MÃ¡tyÃ¡s Farkas,24,Hungary,HUN,,00,0,DNF
AC,GÃ©rard NoÃ«l,27,Belgium,BEL,,00,0,DNF
