
Rank,Athlete,Age,Team,NOC,T,P(1912BT),P(1985T),
1T,Evert Nilsson,25,Sweden,SWE,4:45.6,707.2,645,
1T,Valdemar Wickholm,29,Finland,FIN,4:45.6,707.2,645,
3,Gene Vidal,25,United States,USA,4:46.6,701.2,639,
4,Helge LÃ¸vland,29,Norway,NOR,4:48.4,690.4,628,
5,Bertil Ohlson,21,Sweden,SWE,4:50.6,677.2,615,
6,RenÃ© Joannes-Powell,24,Belgium,BEL,4:52.6,665.2,603,
7,Constant Bucher,20,Switzerland,SUI,4:56.4,642.4,581,
8,Brutus Hamilton,19,United States,USA,4:57.8,634.0,572,
9,Axel-Erik Gyllenstolpe,26,Sweden,SWE,5:01.4,612.4,552,
10,GÃ¶sta HolmÃ©r,28,Sweden,SWE,5:01.6,611.2,551,
11,Ernst Gerspach,22,Switzerland,SUI,5:02.3,607.0,547,
12,Gensabulo Noguchi,31,Japan,JPN,5:11.2,553.6,497,
