Rank,Athlete,Age,Team,NOC,Medal,P(1985AT),
1,Dan O'Brien,30,United States,USA,Gold,8824,
2,Frank Busemann,21,Germany,GER,Silver,8706,
3,TomÃ¡Å¡ DvoÅÃ¡k,24,Czech Republic,CZE,Bronze,8664,
4,Steve Fritz,28,United States,USA,,8644,
5,Eduard HÃ¤mÃ¤lÃ¤inen,27,Belarus,BLR,,8613,
6,Erki Nool,26,Estonia,EST,,8543,
7,Robert ZmÄlÃ­k,27,Czech Republic,CZE,,8422,
8,Ramil Ganiyev,27,Uzbekistan,UZB,,8318,
9,Antonio PeÃ±alver,27,Spain,ESP,,8307,
10,Chris Huffins,26,United States,USA,,8300,
11,Christian Plaziat,32,France,FRA,,8282,
12,JÃ³n Arnar MagnÃºsson,26,Iceland,ISL,,8274,
13,Mike Smith,28,Canada,CAN,,8271,
14,Frank MÃ¼ller,28,Germany,GER,,8253,
15,Sebastian Chmara,24,Poland,POL,,8249,
16,Kamil DamaÅ¡ek,22,Czech Republic,CZE,,8229,
17,SÃ©bastien Levicq,25,France,FRA,,8192,
18,Marcel Dost,26,Netherlands,NED,,8111,
19,Francisco Benet,28,Spain,ESP,,8107,
20,Dirk-Achim Pajonk,27,Germany,GER,,8045,
21,Jack Rosendaal,22,Netherlands,NED,,8035,
22,Vitaliy Kolpakov,24,Ukraine,UKR,,8025,
23,Rojs Piziks,25,Latvia,LAT,,7994,
24,Doug Pirini,26,New Zealand,NZL,,7961,
25,Eugenio BalanquÃ©,27,Cuba,CUB,,7873,
26,RaÃºl Duany,21,Cuba,CUB,,7802,
27,Zsolt KÃ¼rtÃ¶si,25,Hungary,HUN,,7755,
28,Philipp Huber,22,Switzerland,SUI,,7743,
29,Alper KasapoÄlu,30,Turkey,TUR,,7575,
30,Beniamino Poserina,25,Italy,ITA,,7013,
31,Nikolay Afanasyev,30,Russia,RUS,,6711,
AC,Indrek Kaseorg,28,Estonia,EST,,,DNF
AC,Lev Lobodin,27,Ukraine,UKR,,,DNF
AC,Oleg Veretelnikov,24,Uzbekistan,UZB,,,DNF
AC,Victor Houston,22,Barbados,BAR,,,DNF
AC,Scott Ferrier,22,Australia,AUS,,,DNF
AC,Peter Winter,25,Australia,AUS,,,DNF
AC,Alex Kruger,32,Great Britain,GBR,,,DNF
AC,Andrei Nazarov,31,Estonia,EST,,,DNF
AC,DezsÅ SzabÃ³,28,Hungary,HUN,,,DNF
