
Rank,Athlete,Age,Team,NOC,H,P(1962T),P(1985T),
1T,Rick Sloan,21,United States,USA,4.85,1.017,865,OB
1T,Steen Smidt-Jensen,23,Denmark,DEN,4.85,1.017,865,OB
3,Kurt Bendlin,25,West Germany,FRG,4.60,957,790,
4,Tom Waddell,30,United States,USA,4.50,932,760,
5,Wu Ah-Min,30,Chinese Taipei,TPE,4.35,896,716,
6T,Hans-Joachim Walde,26,West Germany,FRG,4.30,884,702,
6T,Manfred Tiedtke,26,East Germany,GDR,4.30,884,702,
8,Walter DieÃl,25,Austria,AUT,4.25,871,688,
9T,Bill Toomey,29,United States,USA,4.20,859,673,
9T,Ed de Noorlander,23,Netherlands,NED,4.20,859,673,
9T,Roger Lespagnard,21,Belgium,BEL,4.20,859,673,
12,Joachim Kirst,21,East Germany,GDR,4.15,845,659,
13T,Mykola Avilov,20,Soviet Union,URS,4.10,832,645,
13T,Lennart Hedmark,24,Sweden,SWE,4.10,832,645,
13T,Urs Trautmann,28,Switzerland,SUI,4.10,832,645,
16,Clive Longe,29,Great Britain,GBR,4.00,807,617,
17,Franz Biedermann,22,Liechtenstein,LIE,3.90,780,590,
18,JÄnis Lanka,28,Soviet Union,URS,3.80,754,562,
19,Spas Dzhurov,23,Bulgaria,BUL,3.60,700,509,
20,Don VÃ©lez,20,Nicaragua,NCA,3.40,644,457,
