
Rank,Athlete,Age,Team,NOC,H,P(1962T),P(1985T),
1,Rick Sloan,21,United States,USA,2.10,942,896,OB
2,Mykola Avilov,20,Soviet Union,URS,2.07,917,868,
3T,Hans-Joachim Walde,26,West Germany,FRG,2.01,865,813,
3T,Tom Waddell,30,United States,USA,2.01,865,813,
5,Joachim Kirst,21,East Germany,GDR,1.98,840,785,
6T,Bill Toomey,29,United States,USA,1.95,813,758,
6T,Ed de Noorlander,23,Netherlands,NED,1.95,813,758,
6T,Manfred Tiedtke,26,East Germany,GDR,1.95,813,758,
6T,Roger Lespagnard,21,Belgium,BEL,1.95,813,758,
6T,Steen Smidt-Jensen,23,Denmark,DEN,1.95,813,758,
6T,Urs Trautmann,28,Switzerland,SUI,1.95,813,758,
12T,Lennart Hedmark,24,Sweden,SWE,1.89,760,705,
12T,Spas Dzhurov,23,Bulgaria,BUL,1.89,760,705,
14,Herbert Wessel,25,East Germany,GDR,1.86,734,679,
15T,Gert Herunter,26,Austria,AUT,1.83,707,653,
15T,Walter DieÃl,25,Austria,AUT,1.83,707,653,
17T,Wu Ah-Min,30,Chinese Taipei,TPE,1.80,680,627,
17T,Charlemagne Anyamah,30,France,FRA,1.80,680,627,
17T,JÄnis Lanka,28,Soviet Union,URS,1.80,680,627,
17T,Kurt Bendlin,25,West Germany,FRG,1.80,680,627,
17T,Rein Aun,28,Soviet Union,URS,1.80,680,627,
22T,Chen Chuan-Show,27,Chinese Taipei,TPE,1.70,588,544,
22T,Clive Longe,29,Great Britain,GBR,1.70,588,544,
22T,Franz Biedermann,22,Liechtenstein,LIE,1.70,588,544,
22T,Ho Henh PhÆ°Æ¡c,28,South Vietnam,VNM,1.70,588,544,
22T,Roberto Carmona,24,Mexico,MEX,1.70,588,544,
22T,ValbjÃ¶rn ÃorlÃ¡ksson,34,Iceland,ISL,1.70,588,544,
28T,Don VÃ©lez,20,Nicaragua,NCA,1.65,540,504,
28T,Hansruedi Kunz,23,Switzerland,SUI,1.65,540,504,
