
Rank,Athlete,Age,Team,NOC,D,P(1934T),P(1985T),
1T,Enrique Kistenmacher,25,Argentina,ARG,7.080,825,833,
1T,Edward Adamczyk,26,Poland,POL,7.080,825,833,
3,Ignace Heinrich,22,France,FRA,6.895,775,788,
4,Irving Mondschein,24,United States,USA,6.810,754,769,
5,Per Eriksson,23,Sweden,SWE,6.800,751,767,
6,Godtfred Holmvang,30,Norway,NOR,6.750,739,755,
7,Floyd Simmons,25,United States,USA,6.725,731,748,
8,Hannes Sonck,28,Finland,FIN,6.715,728,746,
9,Per Stavem,22,Norway,NOR,6.705,726,743,
10,Eduardo Julve,24,Peru,PER,6.665,716,734,
11,Peter Mullins,22,Australia,AUS,6.645,711,729,
12,Baldev Singh,,India,IND,6.630,708,727,
13,Bob Mathias,17,United States,USA,6.615,703,723,
14,Erik Andersson,26,Sweden,SWE,6.595,698,718,
15,Kjell TÃ¥nnander,21,Sweden,SWE,6.580,695,716,
16,WacÅaw KuÅºmicki,27,Poland,POL,6.565,690,711,
17,Ãrn Clausen,19,Iceland,ISL,6.545,686,707,
18,Oto Rebula,26,Yugoslavia,YUG,6.530,683,704,
19,Lionel Fournier,31,Canada,CAN,6.510,678,700,
20T,HernÃ¡n Figueroa,20,Chile,CHI,6.425,656,679,
20T,Jacques CrÃ©taine,,France,FRA,6.425,656,679,
22,HÃ©rcules Azcune,19,Uruguay,URU,6.405,651,675,
23,Pierre SprÃ©cher,26,France,FRA,6.380,646,670,
24,Fritz Nussbaum,24,Switzerland,SUI,6.345,637,661,
25,RenÃ© Kremer,23,Luxembourg,LUX,6.255,615,641,
26,YrjÃ¶ MÃ¤kelÃ¤,21,Finland,FIN,6.200,603,630,
27,Mario RecordÃ³n,26,Chile,CHI,6.085,575,604,
28,Davorin MarÄelja,24,Yugoslavia,YUG,6.050,568,597,
29,Oskar Gerber,,Switzerland,SUI,5.960,547,578,
30,Josef Seger,,Liechtenstein,LIE,5.945,543,574,
31,Witold Gerutto,35,Poland,POL,5.905,534,565,
32,Albert Dayer,22,Belgium,BEL,5.825,516,548,
33,Gebhard BÃ¼chel,27,Liechtenstein,LIE,5.550,457,492,
34,Sayed Moukhtar,,Egypt,EGY,5.510,448,483,
