
Rank,Athlete,Age,Team,NOC,T,P(1934T),P(1985T),
1T,Peter Mullins,22,Australia,AUS,15.2,896,797,
1T,Floyd Simmons,25,United States,USA,15.2,896,797,
3,Ignace Heinrich,22,France,FRA,15.6,833,751,
4,Bob Mathias,17,United States,USA,15.7,818,740,
5T,Edward Adamczyk,26,Poland,POL,15.8,804,728,
5T,Mario RecordÃ³n,26,Chile,CHI,15.8,804,728,
7,Erik Andersson,26,Sweden,SWE,15.9w,790,717,
8,Ãrn Clausen,19,Iceland,ISL,16.0,776,706,
9,Baldev Singh,,India,IND,16.1,762,695,
10,Per Eriksson,23,Sweden,SWE,16.2w,749,684,
11,Enrique Kistenmacher,25,Argentina,ARG,16.3w,736,673,
12T,Per Stavem,22,Norway,NOR,16.4,723,662,
12T,Kjell TÃ¥nnander,21,Sweden,SWE,16.4,723,662,
12T,Godtfred Holmvang,30,Norway,NOR,16.4,723,662,
15T,Fritz Nussbaum,24,Switzerland,SUI,16.5,710,652,
15T,HernÃ¡n Figueroa,20,Chile,CHI,16.5w,710,652,
17,Irving Mondschein,24,United States,USA,16.6,698,641,
18,Pierre SprÃ©cher,26,France,FRA,16.7,686,631,
19T,Oskar Gerber,,Switzerland,SUI,16.8,674,620,
19T,Hannes Sonck,28,Finland,FIN,16.8,674,620,
21,Witold Gerutto,35,Poland,POL,17.0,651,599,
22,HÃ©rcules Azcune,19,Uruguay,URU,17.1,640,589,
23,Jacques CrÃ©taine,,France,FRA,17.3,618,569,
24,Lionel Fournier,31,Canada,CAN,17.4,607,559,
25T,YrjÃ¶ MÃ¤kelÃ¤,21,Finland,FIN,17.5,597,549,
25T,Davorin MarÄelja,24,Yugoslavia,YUG,17.5,597,549,
27,WacÅaw KuÅºmicki,27,Poland,POL,17.6,587,540,
28,Sayed Moukhtar,,Egypt,EGY,17.9,557,511,
29,Josef Seger,,Liechtenstein,LIE,18.7,485,438,
30,Albert Dayer,22,Belgium,BEL,19.5,422,370,
AC,Oto Rebula,26,Yugoslavia,YUG,,0,0,DNF
