
Rank,Athlete,Age,Team,NOC,H,P(1934T),P(1985T),
1T,Bob Mathias,17,United States,USA,1.86,859,679,
1T,Ignace Heinrich,22,France,FRA,1.86,859,679,
1T,Floyd Simmons,25,United States,USA,1.86,859,679,
1T,Kjell TÃ¥nnander,21,Sweden,SWE,1.86,859,679,
1T,HÃ©rcules Azcune,19,Uruguay,URU,1.86,859,679,
6T,Peter Mullins,22,Australia,AUS,1.83,822,653,
6T,Irving Mondschein,24,United States,USA,1.83,822,653,
8T,Per Eriksson,23,Sweden,SWE,1.80,786,627,
8T,Per Stavem,22,Norway,NOR,1.80,786,627,
8T,Ãrn Clausen,19,Iceland,ISL,1.80,786,627,
8T,YrjÃ¶ MÃ¤kelÃ¤,21,Finland,FIN,1.80,786,627,
12T,Erik Andersson,26,Sweden,SWE,1.75,727,585,
12T,Edward Adamczyk,26,Poland,POL,1.75,727,585,
12T,Hannes Sonck,28,Finland,FIN,1.75,727,585,
15T,Enrique Kistenmacher,25,Argentina,ARG,1.70,671,544,
15T,Godtfred Holmvang,30,Norway,NOR,1.70,671,544,
15T,WacÅaw KuÅºmicki,27,Poland,POL,1.70,671,544,
15T,Davorin MarÄelja,24,Yugoslavia,YUG,1.70,671,544,
15T,Witold Gerutto,35,Poland,POL,1.70,671,544,
15T,HernÃ¡n Figueroa,20,Chile,CHI,1.70,671,544,
15T,Mario RecordÃ³n,26,Chile,CHI,1.70,671,544,
15T,Baldev Singh,,India,IND,1.70,671,544,
23T,Jacques CrÃ©taine,,France,FRA,1.65,616,504,
23T,Lionel Fournier,31,Canada,CAN,1.65,616,504,
23T,Albert Dayer,22,Belgium,BEL,1.65,616,504,
23T,Josef Seger,,Liechtenstein,LIE,1.65,616,504,
23T,Eduardo Julve,24,Peru,PER,1.65,616,504,
28T,Pierre SprÃ©cher,26,France,FRA,1.60,563,464,
28T,Fritz Nussbaum,24,Switzerland,SUI,1.60,563,464,
28T,Oskar Gerber,,Switzerland,SUI,1.60,563,464,
28T,Oto Rebula,26,Yugoslavia,YUG,1.60,563,464,
28T,RenÃ© Kremer,23,Luxembourg,LUX,1.60,563,464,
33,Sayed Moukhtar,,Egypt,EGY,1.50,462,389,
34,Gebhard BÃ¼chel,27,Liechtenstein,LIE,1.40,368,317,
