
Rank,Athlete,Age,Team,NOC,T,P(1934T),P(1985T),
1,Enrique Kistenmacher,25,Argentina,ARG,50.5,845,785,
2T,Ignace Heinrich,22,France,FRA,51.6,785,736,
2T,Irving Mondschein,24,United States,USA,51.6,785,736,
4,Bob Mathias,17,United States,USA,51.7,780,732,
5,Pierre SprÃ©cher,26,France,FRA,51.8,775,727,
6,Floyd Simmons,25,United States,USA,51.9,770,723,
7,Erik Andersson,26,Sweden,SWE,52.0,765,719,
8T,Per Eriksson,23,Sweden,SWE,52.5,740,697,
8T,Edward Adamczyk,26,Poland,POL,52.5,740,697,
10,HÃ©rcules Azcune,19,Uruguay,URU,52.7,730,688,
11,Godtfred Holmvang,30,Norway,NOR,52.9,720,680,
12,Peter Mullins,22,Australia,AUS,53.2,706,667,
13,Eduardo Julve,24,Peru,PER,53.5,692,655,
14,Fritz Nussbaum,24,Switzerland,SUI,53.6,687,650,
15,Mario RecordÃ³n,26,Chile,CHI,53.9,674,638,
16T,YrjÃ¶ MÃ¤kelÃ¤,21,Finland,FIN,54.3,656,622,
16T,WacÅaw KuÅºmicki,27,Poland,POL,54.3,656,622,
16T,HernÃ¡n Figueroa,20,Chile,CHI,54.3,656,622,
19,Davorin MarÄelja,24,Yugoslavia,YUG,54.4,652,617,
20T,Kjell TÃ¥nnander,21,Sweden,SWE,54.5,647,613,
20T,Lionel Fournier,31,Canada,CAN,54.5,647,613,
22,Ãrn Clausen,19,Iceland,ISL,54.7,639,605,
23T,Jacques CrÃ©taine,,France,FRA,54.8,635,601,
23T,Oskar Gerber,,Switzerland,SUI,54.8,635,601,
23T,Sayed Moukhtar,,Egypt,EGY,54.8,635,601,
26,Hannes Sonck,28,Finland,FIN,55.2,618,585,
27,Oto Rebula,26,Yugoslavia,YUG,55.3,614,581,
28,Witold Gerutto,35,Poland,POL,55.4,610,577,
29,Josef Seger,,Liechtenstein,LIE,55.7,597,565,
30,Per Stavem,22,Norway,NOR,56.0,585,554,
31,RenÃ© Kremer,23,Luxembourg,LUX,56.5,566,535,
32T,Albert Dayer,22,Belgium,BEL,57.1,543,512,
32T,Baldev Singh,,India,IND,57.1,543,512,
