
Rank,Athlete,Age,Team,NOC,H,P(1934T),P(1985T),
1,Erik Andersson,26,Sweden,SWE,3.60,733,509,
2T,Bob Mathias,17,United States,USA,3.50,692,482,
2T,Irving Mondschein,24,United States,USA,3.50,692,482,
4T,Floyd Simmons,25,United States,USA,3.40,652,457,
4T,Peter Mullins,22,Australia,AUS,3.40,652,457,
4T,Edward Adamczyk,26,Poland,POL,3.40,652,457,
4T,Godtfred Holmvang,30,Norway,NOR,3.40,652,457,
4T,Hannes Sonck,28,Finland,FIN,3.40,652,457,
4T,HernÃ¡n Figueroa,20,Chile,CHI,3.40,652,457,
4T,Jacques CrÃ©taine,,France,FRA,3.40,652,457,
11T,Per Eriksson,23,Sweden,SWE,3.30,613,431,
11T,Davorin MarÄelja,24,Yugoslavia,YUG,3.30,613,431,
11T,Fritz Nussbaum,24,Switzerland,SUI,3.30,613,431,
14T,Ignace Heinrich,22,France,FRA,3.20,575,406,
14T,Enrique Kistenmacher,25,Argentina,ARG,3.20,575,406,
14T,Per Stavem,22,Norway,NOR,3.20,575,406,
14T,Ãrn Clausen,19,Iceland,ISL,3.20,575,406,
14T,YrjÃ¶ MÃ¤kelÃ¤,21,Finland,FIN,3.20,575,406,
14T,Kjell TÃ¥nnander,21,Sweden,SWE,3.20,575,406,
14T,WacÅaw KuÅºmicki,27,Poland,POL,3.20,575,406,
14T,HÃ©rcules Azcune,19,Uruguay,URU,3.20,575,406,
14T,Lionel Fournier,31,Canada,CAN,3.20,575,406,
14T,Oskar Gerber,,Switzerland,SUI,3.20,575,406,
24T,Pierre SprÃ©cher,26,France,FRA,3.00,501,357,
24T,Witold Gerutto,35,Poland,POL,3.00,501,357,
24T,Albert Dayer,22,Belgium,BEL,3.00,501,357,
27,Mario RecordÃ³n,26,Chile,CHI,2.80,431,309,
28,Sayed Moukhtar,,Egypt,EGY,2.35,285,210,
