
Rank,Athlete,Age,Team,NOC,D,P(1934T),P(1985T),
1,Witold Gerutto,35,Poland,POL,14.53,871,761,
2,Per Stavem,22,Norway,NOR,13.89,805,722,
3,Edward Adamczyk,26,Poland,POL,13.20,735,679,
4,YrjÃ¶ MÃ¤kelÃ¤,21,Finland,FIN,13.10,725,673,
5,Bob Mathias,17,United States,USA,13.04,719,670,
6,Eduardo Julve,24,Peru,PER,13.03,718,669,
7,Ãrn Clausen,19,Iceland,ISL,12.87,703,659,
8,Ignace Heinrich,22,France,FRA,12.85,701,658,
9,Floyd Simmons,25,United States,USA,12.80,696,655,
10,Peter Mullins,22,Australia,AUS,12.75,691,652,
11,Irving Mondschein,24,United States,USA,12.74,690,651,
12,Enrique Kistenmacher,25,Argentina,ARG,12.67,684,647,
13,Erik Andersson,26,Sweden,SWE,12.66,683,647,
14,Kjell TÃ¥nnander,21,Sweden,SWE,12.50,668,637,
15,Albert Dayer,22,Belgium,BEL,12.45,663,634,
16,WacÅaw KuÅºmicki,27,Poland,POL,12.34,652,627,
17,Pierre SprÃ©cher,26,France,FRA,12.22,641,620,
18,Davorin MarÄelja,24,Yugoslavia,YUG,12.19,638,618,
19T,Godtfred Holmvang,30,Norway,NOR,12.17,637,617,
19T,HernÃ¡n Figueroa,20,Chile,CHI,12.17,637,617,
21,Per Eriksson,23,Sweden,SWE,11.96,617,604,
22,Hannes Sonck,28,Finland,FIN,11.83,605,596,
23,RenÃ© Kremer,23,Luxembourg,LUX,11.67,591,586,
24,Oskar Gerber,,Switzerland,SUI,11.61,585,583,
25,Oto Rebula,26,Yugoslavia,YUG,11.55,580,579,
26,Mario RecordÃ³n,26,Chile,CHI,11.45,571,573,
27T,Fritz Nussbaum,24,Switzerland,SUI,11.02,533,547,
27T,Sayed Moukhtar,,Egypt,EGY,11.02,533,547,
29,HÃ©rcules Azcune,19,Uruguay,URU,10.87,520,538,
30,Jacques CrÃ©taine,,France,FRA,10.78,512,533,
31,Lionel Fournier,31,Canada,CAN,10.42,482,511,
32,Gebhard BÃ¼chel,27,Liechtenstein,LIE,10.36,477,507,
33,Baldev Singh,,India,IND,10.05,451,489,
34,Josef Seger,,Liechtenstein,LIE,9.40,398,450,
