
Rank,Athlete,Age,Team,NOC,D,P(1934T),P(1985T),
1,YrjÃ¶ MÃ¤kelÃ¤,21,Finland,FIN,62.55,835,776,OB
2,Pierre SprÃ©cher,26,France,FRA,58.79,757,720,
3,Per Eriksson,23,Sweden,SWE,56.70,715,688,
4,Davorin MarÄelja,24,Yugoslavia,YUG,55.34,688,668,
5,Godtfred Holmvang,30,Norway,NOR,53.66,656,643,
6,Per Stavem,22,Norway,NOR,52.79,639,630,
7,Floyd Simmons,25,United States,USA,51.99,624,618,
8,Peter Mullins,22,Australia,AUS,51.32,612,608,
9,Witold Gerutto,35,Poland,POL,51.06,607,604,
10,Erik Andersson,26,Sweden,SWE,51.04,607,604,
11,Bob Mathias,17,United States,USA,50.32,593,593,
12,Albert Dayer,22,Belgium,BEL,48.71,564,570,
13,Hannes Sonck,28,Finland,FIN,48.24,555,563,
14,WacÅaw KuÅºmicki,27,Poland,POL,47.34,539,549,
15,Fritz Nussbaum,24,Switzerland,SUI,46.13,518,532,
16,Enrique Kistenmacher,25,Argentina,ARG,45.06,499,516,
17,Sayed Moukhtar,,Egypt,EGY,44.59,491,509,
18,Ãrn Clausen,19,Iceland,ISL,44.16,484,503,
19,Edward Adamczyk,26,Poland,POL,43.70,476,496,
20,Kjell TÃ¥nnander,21,Sweden,SWE,43.65,475,495,
20,Jacques CrÃ©taine,,France,FRA,43.26,469,490,
22,HernÃ¡n Figueroa,20,Chile,CHI,43.05,465,486,
23,Oskar Gerber,,Switzerland,SUI,42.44,455,478,
24,Lionel Fournier,31,Canada,CAN,42.39,454,477,
25,Ignace Heinrich,22,France,FRA,40.98,430,456,
26,HÃ©rcules Azcune,19,Uruguay,URU,38.31,387,418,
27,Mario RecordÃ³n,26,Chile,CHI,38.06,383,414,
28,Irving Mondschein,24,United States,USA,36.81,363,396,
