
Rank,Athlete,Age,Team,NOC,D,P(1985AT),
1,Christian Plaziat,24,France,FRA,7.62,965,
2,Petri Keskitalo,21,Finland,FIN,7.56,950,
3T,Simon Shirley,22,Australia,AUS,7.45,922,
3T,Torsten Voss,25,East Germany,GDR,7.45,922,
5,Dave Steen,28,Canada,CAN,7.44,920,
6T,Alain Blondel,25,France,FRA,7.43,918,
6T,Christian Schenk,23,East Germany,GDR,7.43,918,
8,Daley Thompson,30,Great Britain,GBR,7.38,905,
9,Mike Smith,21,Canada,CAN,7.37,903,
10,Georg Werthner,32,Austria,AUT,7.36,900,
11,Beat GÃ¤hwiler,23,Switzerland,SUI,7.34,896,
12,DezsÅ SzabÃ³,21,Hungary,HUN,7.29,883,
13,Pavlo Tarnovetskiy,27,Soviet Union,URS,7.28,881,
14,Lee Fu-An,24,Chinese Taipei,TPE,7.23,869,
15,Lee Gwang-Ik,19,South Korea,KOR,7.19,859,
16,Valter KÃ¼lvet,24,Soviet Union,URS,7.14,847,
17,Dave Johnson,25,United States,USA,7.12,842,
18,Greg Richards,32,Great Britain,GBR,7.09,835,
19T,Antonio PeÃ±alver,19,Spain,ESP,7.08,833,
19T,Simon Poelman,25,New Zealand,NZL,7.08,833,
21,Roman HrabaÅ,26,Czechoslovakia,TCH,7.07,830,
22,Tim Bright,28,United States,USA,7.05,826,
23,Lars Warming,25,Denmark,DEN,7.04,823,
24,Christian Gugler,28,Switzerland,SUI,7.02,818,
25,VÄroslav Valenta,23,Czechoslovakia,TCH,7.01,816,
26T,Gary Kinder,25,United States,USA,7.00,814,
26T,Uwe Freimuth,27,East Germany,GDR,7.00,814,
28,Severin Moser,25,Switzerland,SUI,6.98,809,
29,Alex Kruger,24,Great Britain,GBR,6.97,807,
30,Rob de Wit,26,Netherlands,NED,6.95,802,
31,Carlos O'Connell,25,Ireland,IRL,6.90,790,
32,Santiago Mellado,25,El Salvador,ESA,6.83,774,
33,Fidel SolÃ³rzano,26,Ecuador,ECU,6.79,764,
34,Mikael Olander,25,Sweden,SWE,6.75,755,
35,Albert Miller,30,Fiji,FIJ,6.43,682,
36,Gong Guohua,24,China,CHN,6.22,635,
37,Dambar Kuwar,,Nepal,NEP,5.83,550,
