
Rank,Athlete,Age,Team,NOC,Medal,P(1985AT),
1,Christian Schenk,23,East Germany,GDR,Gold,8.488,
2,Torsten Voss,25,East Germany,GDR,Silver,8.399,
3,Dave Steen,28,Canada,CAN,Bronze,8.328,
4,Daley Thompson,30,Great Britain,GBR,,8.306,
5,Christian Plaziat,24,France,FRA,,8.272,
6,Alain Blondel,25,France,FRA,,8.268,
7,Tim Bright,28,United States,USA,,8.216,
8,Rob de Wit,26,Netherlands,NED,,8.189,
9,Dave Johnson,25,United States,USA,,8.180,
10,Pavlo Tarnovetskiy,27,Soviet Union,URS,,8.167,
11,Petri Keskitalo,21,Finland,FIN,,8.143,
12,Beat GÃ¤hwiler,23,Switzerland,SUI,,8.114,
13,DezsÅ SzabÃ³,21,Hungary,HUN,,8.093,
14,Mike Smith,21,Canada,CAN,,8.083,
15,Simon Shirley,22,Australia,AUS,,8.036,
16,Simon Poelman,25,New Zealand,NZL,,8.021,
17,Mikael Olander,25,Sweden,SWE,,7.869,
18,Uwe Freimuth,27,East Germany,GDR,,7.860,
19,Lars Warming,25,Denmark,DEN,,7.859,
20,Roman HrabaÅ,26,Czechoslovakia,TCH,,7.781,
21,Georg Werthner,32,Austria,AUT,,7.753,
22,Christian Gugler,28,Switzerland,SUI,,7.745,
23,Antonio PeÃ±alver,19,Spain,ESP,,7.743,
24,Alex Kruger,24,Great Britain,GBR,,7.623,
25,Lee Fu-An,24,Chinese Taipei,TPE,,7.579,
26,Santiago Mellado,25,El Salvador,ESA,,7.517,
27,Severin Moser,25,Switzerland,SUI,,7.502,
28,VÄroslav Valenta,23,Czechoslovakia,TCH,,7.442,
29,Carlos O'Connell,25,Ireland,IRL,,7.310,
30,Greg Richards,32,Great Britain,GBR,,7.237,
31,Gong Guohua,24,China,CHN,,7.231,
32,Albert Miller,30,Fiji,FIJ,,7.016,
33,Lee Gwang-Ik,19,South Korea,KOR,,6.917,
34,Dambar Kuwar,,Nepal,NEP,,5.339,
AC,Valter KÃ¼lvet,24,Soviet Union,URS,,,DNF
AC,Gary Kinder,25,United States,USA,,,DNF
AC,Fidel SolÃ³rzano,26,Ecuador,ECU,,,DNF
AC,Oleksandr Apaichev,26,Soviet Union,URS,,,DNF
AC,JÃ¼rgen Hingsen,30,West Germany,FRG,,,DNF
